"Date","BTC-USD","SOL-USD","BCH-USD","MATIC-USD","ALGO-USD","LINK-USD","ETH-USD","LTC-USD","ADA-USD","AVAX-USD"
"2020-09-23","10246.186523","2.836757","207.917099","0.017709","0.267851","7.702259","321.116302","43.05769","0.076763","4.118469"
"2020-09-24","10760.066406","3.132715","216.387589","0.018987","0.294438","9.817477","349.355591","45.039856","0.082817","4.566561"
"2020-09-25","10692.716797","3.188612","216.635284","0.019146","0.31749","10.711364","352.183258","46.086311","0.096845","4.712279"
"2020-09-26","10750.723633","3.134703","222.053391","0.018928","0.326303","10.341659","355.488098","46.188923","0.095564","4.539249"
"2020-09-27","10775.269531","3.152947","228.814728","0.018736","0.31384","10.76908","357.438507","46.091694","0.101287","4.625536"
"2020-09-28","10709.652344","2.956678","226.154343","0.018886","0.328337","10.333558","355.159424","45.355541","0.100667","4.204803"
"2020-09-29","10844.640625","2.946433","228.977997","0.019675","0.336226","10.115016","359.757385","45.796562","0.101181","4.142951"
"2020-09-30","10784.491211","2.897876","228.005753","0.020153","0.345711","9.85121","359.937866","46.37146","0.101062","4.322546"
"2020-10-01","10619.452148","2.861028","227.419205","0.01898","0.334291","9.649905","353.205902","46.313507","0.097865","4.15109"
"2020-10-02","10575.974609","2.626083","220.021805","0.018272","0.317115","9.224705","346.238922","44.923973","0.092921","3.927156"
"2020-10-03","10549.329102","2.547303","218.863785","0.01855","0.313876","9.304493","346.522095","45.581772","0.093413","4.02166"
"2020-10-04","10669.583008","2.515995","221.392395","0.018602","0.313273","9.40491","352.57901","46.730106","0.096348","3.96111"
"2020-10-05","10793.339844","2.657644","222.050323","0.018841","0.317872","9.623703","353.956787","46.363228","0.097544","3.97802"
"2020-10-06","10604.40625","2.17625","220.032974","0.017165","0.287602","8.779272","340.815857","45.985531","0.092808","3.537658"
"2020-10-07","10668.96875","2.291796","223.273392","0.016958","0.305522","8.95785","341.808655","46.66048","0.0938","3.446818"
"2020-10-08","10915.685547","2.36522","233.621933","0.016632","0.307375","9.508818","350.766144","47.21838","0.096152","3.904279"
"2020-10-09","11064.458008","2.539859","237.365677","0.017094","0.330713","10.346902","365.590485","47.832954","0.101925","4.235305"
"2020-10-10","11296.361328","2.40609","237.323517","0.017207","0.324523","10.524793","370.96759","48.921097","0.105025","4.026705"
"2020-10-11","11384.181641","2.426578","239.669846","0.017855","0.332201","10.847407","375.142059","50.727901","0.106538","4.095879"
"2020-10-12","11555.363281","2.587072","239.814957","0.017905","0.344425","11.452909","387.731262","50.743816","0.110034","4.41574"
"2020-10-13","11425.899414","2.40491","253.530243","0.017698","0.343328","10.995448","381.190765","49.940639","0.108852","4.488054"
"2020-10-14","11429.506836","2.314635","259.133484","0.017235","0.326955","10.949109","379.484039","49.846489","0.107297","4.150056"
"2020-10-15","11495.349609","2.266436","261.384735","0.01719","0.315197","10.737752","377.441833","49.490372","0.106635","4.127353"
"2020-10-16","11322.123047","2.149386","250.325409","0.016253","0.299194","10.61955","366.229004","47.692875","0.104064","4.04048"
"2020-10-17","11358.101563","2.201843","246.319931","0.016742","0.312509","10.652524","368.855927","47.053928","0.106104","4.196009"
"2020-10-18","11483.359375","2.214267","249.812164","0.016887","0.316258","10.880713","378.213684","47.619545","0.107388","4.116062"
"2020-10-19","11742.037109","2.05808","250.709793","0.016205","0.302858","10.886283","379.935608","48.098915","0.108677","4.050311"
"2020-10-20","11916.334961","1.888672","242.845551","0.015632","0.287303","9.878593","369.136902","47.051029","0.102494","3.802201"
"2020-10-21","12823.689453","1.890378","258.514587","0.016383","0.301554","10.804607","392.189972","53.04533","0.106187","3.965959"
"2020-10-22","12965.891602","1.955653","266.472626","0.017404","0.315317","11.939335","413.77298","54.267277","0.110572","4.314421"
"2020-10-23","12931.539063","1.960035","270.314667","0.01704","0.308691","12.163795","409.766693","55.238689","0.108083","4.262106"
"2020-10-24","13108.0625","1.911828","275.122009","0.017683","0.307377","12.731548","412.457611","59.095589","0.108075","4.1897"
"2020-10-25","13031.173828","1.787459","271.079437","0.017165","0.303188","12.160059","406.217773","58.674801","0.106351","4.15321"
"2020-10-26","13075.248047","1.685466","259.782593","0.016562","0.29146","11.747902","393.888306","56.745777","0.103097","4.160973"
"2020-10-27","13654.21875","1.710232","264.539429","0.0158","0.287536","11.973837","403.99704","57.816051","0.102827","4.122243"
"2020-10-28","13271.285156","1.490053","268.489716","0.015086","0.277327","11.461742","388.650757","55.742512","0.098977","4.066606"
"2020-10-29","13437.882813","1.428936","267.056061","0.013877","0.256087","11.265141","386.730103","54.765854","0.095376","3.775312"
"2020-10-30","13546.522461","1.441336","261.828125","0.01391","0.254453","11.098557","382.819977","53.835033","0.093369","3.714938"
"2020-10-31","13780.995117","1.5407","261.75824","0.013721","0.249471","11.220839","386.590332","55.59026","0.093056","3.648368"
"2020-11-01","13737.109375","1.59984","267.555817","0.014107","0.257291","11.53663","396.358185","55.587624","0.098197","3.682664"
"2020-11-02","13550.489258","1.474072","257.199707","0.013688","0.246147","10.797579","383.156738","53.817482","0.092143","3.623915"
"2020-11-03","13950.300781","1.412234","244.146835","0.012717","0.232871","10.387002","387.602173","53.819622","0.093434","3.332747"
"2020-11-04","14133.707031","1.392255","241.130096","0.012251","0.238598","10.472587","402.141998","54.499104","0.095369","3.184633"
"2020-11-05","15579.848633","1.405218","249.547318","0.013477","0.247707","10.990669","414.067352","58.678497","0.096994","3.358205"
"2020-11-06","15565.880859","1.91374","257.720184","0.015509","0.276471","12.118072","454.719299","63.131111","0.109105","3.595282"
"2020-11-07","14833.753906","2.031964","253.590408","0.014393","0.258266","11.757224","435.713135","59.143646","0.101379","3.403408"
"2020-11-08","15479.567383","2.156598","270.697784","0.015735","0.266494","12.656035","453.554779","61.055046","0.106621","3.476598"
"2020-11-09","15332.31543","2.028652","263.981323","0.015634","0.26062","12.520735","444.163055","59.363884","0.105325","3.417125"
"2020-11-10","15290.902344","2.247987","257.351807","0.017314","0.286784","13.003463","449.679626","58.237343","0.105805","3.586142"
"2020-11-11","15701.339844","2.002125","257.12149","0.016603","0.278738","12.807538","462.960541","59.51503","0.105965","3.484356"
"2020-11-12","16276.34375","1.899138","259.821533","0.01586","0.265159","12.423223","461.00528","60.365379","0.104525","3.429143"
"2020-11-13","16317.808594","2.020792","259.171783","0.016917","0.279745","12.887978","474.626434","65.457199","0.106391","3.697801"
"2020-11-14","16068.138672","1.917016","255.769043","0.016751","0.265827","12.57696","460.149841","63.774151","0.104202","3.500485"
"2020-11-15","15955.587891","2.043234","241.368027","0.016461","0.254886","12.121813","447.559082","62.279922","0.100531","3.53658"
"2020-11-16","16716.111328","2.255355","250.139297","0.01661","0.269692","12.59079","459.940308","71.326248","0.104008","3.716656"
"2020-11-17","17645.40625","2.202181","255.288528","0.017694","0.27403","13.244712","480.360077","75.852341","0.1096","3.831768"
"2020-11-18","17804.005859","2.115029","247.126053","0.017093","0.267482","13.592996","479.48407","73.694939","0.106403","3.748681"
