"Inception";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year1";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year2";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year3";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year4";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year5";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year6";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year7";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year8";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year9";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year10";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin"
"2012-03-02";"OTEX.TO";"15.150000000000";"0.040004000400";"Core";"2013-03-01";"OTEX.TO";"14.110000000000";"0.050189333189";"Core";"2014-03-03";"OTEX.TO";"27.934999000000";"0.239174432542";"Growth";"2015-03-02";"OTEX.TO";"36.695000000000";"0.198091633442";"Growth";"2016-03-01";"OTEX.TO";"33.860001000000";"0.040966370387";"Core";"2017-03-01";"OTEX.TO";"44.279999000000";"0.392481533850";"Growth";"2018-03-01";"OTEX.TO";"44.490002000000";"0.036601891195";"Core";"2019-03-01";"OTEX.TO";"50.650002000000";"0.035368540278";"Core";"2020-03-02";"OTEX.TO";"56.950001000000";"0.029402111745";"Core";"2021-03-01";"OTEX.TO";"57.889999000000";"0.035951021839";"Core";"2022-03-01";"OTEX.TO";"54.450001000000";"0.042854770311";"Core"
"2012-03-02";"GIL.TO";"12.730000000000";"0.314218381775";"Value";"2013-03-01";"GIL.TO";"19.070000000000";"0.314218381775";"Value";"2014-03-03";"GIL.TO";"28.160000000000";"0.314218381775";"Value";"2015-03-02";"GIL.TO";"37.950001000000";"0.191540772005";"Growth";"2016-03-01";"GIL.TO";"35.959999000000";"0.038574009478";"Core";"2017-03-01";"GIL.TO";"34.709999000000";"0.039528459326";"Core";"2018-03-01";"GIL.TO";"36.889999000000";"0.044142538808";"Core";"2019-03-01";"GIL.TO";"47.790001000000";"0.299881414245";"Growth";"2020-03-02";"GIL.TO";"32.410000000000";"0.051664618737";"Core";"2021-03-01";"GIL.TO";"40.139999000000";"0.362940525443";"Value";"2022-03-01";"GIL.TO";"48.529999000000";"0.362940525443";"Value"
"2012-03-02";"TRP.TO";"43.410000000000";"0.013961313201";"Core";"2013-03-01";"TRP.TO";"47.810001000000";"0.014812204068";"Core";"2014-03-03";"TRP.TO";"49.060001000000";"0.017023383096";"Core";"2015-03-02";"TRP.TO";"55.220001000000";"0.024681860142";"Core";"2016-03-01";"TRP.TO";"49.270000000000";"0.028153467470";"Core";"2017-03-01";"TRP.TO";"60.990002000000";"0.022496027852";"Core";"2018-03-01";"TRP.TO";"55.970001000000";"0.029094482462";"Core";"2019-03-01";"TRP.TO";"59.410000000000";"0.030153452884";"Core";"2020-03-02";"TRP.TO";"71.010002000000";"0.023580485088";"Core";"2021-03-01";"TRP.TO";"53.820000000000";"0.270688077449";"Value";"2022-03-01";"TRP.TO";"68.129997000000";"0.270688077449";"Value"
"2012-03-02";"TD.TO";"40.889999000000";"0.014821731985";"Core";"2013-03-01";"TD.TO";"42.514999000000";"0.016656980076";"Core";"2014-03-03";"TD.TO";"49.930000000000";"0.016726761301";"Core";"2015-03-02";"TD.TO";"54.610001000000";"0.024957559362";"Core";"2016-03-01";"TD.TO";"53.340000000000";"0.026005274508";"Core";"2017-03-01";"TD.TO";"69.500000000000";"0.019741478902";"Core";"2018-03-01";"TD.TO";"74.919998000000";"0.021735427869";"Core";"2019-03-01";"TD.TO";"75.160004000000";"0.023834706499";"Core";"2020-03-02";"TD.TO";"69.510002000000";"0.024089343189";"Core";"2021-03-01";"TD.TO";"77.769997000000";"0.026761022227";"Core";"2022-03-01";"TD.TO";"98.910004000000";"0.188732560260";"Growth"
"2012-03-02";"CCO.TO";"23.930000000000";"0.025326393901";"Core";"2013-03-01";"CCO.TO";"21.469999000000";"0.032984234945";"Core";"2014-03-03";"CCO.TO";"27.209999000000";"0.030693392959";"Core";"2015-03-02";"CCO.TO";"18.889999000000";"0.419787643714";"Value";"2016-03-01";"CCO.TO";"16.459999000000";"0.419787643714";"Value";"2017-03-01";"CCO.TO";"14.710000000000";"0.419787643714";"Value";"2018-03-01";"CCO.TO";"11.460000000000";"1.023089976420";"Value";"2019-03-01";"CCO.TO";"15.330000000000";"1.023089976420";"Value";"2020-03-02";"CCO.TO";"11.450000000000";"1.023089976420";"Value";"2021-03-01";"CCO.TO";"20.250000000000";"0.719428756955";"Growth";"2022-03-01";"CCO.TO";"31.150000000000";"0.599278917824";"Growth"
"2012-03-02";"WPM.TO";"37.150002000000";"0.097883268926";"Growth";"2013-03-01";"WPM.TO";"32.630001000000";"0.021703079056";"Core";"2014-03-03";"WPM.TO";"28.480000000000";"0.029324690721";"Core";"2015-03-02";"WPM.TO";"26.600000000000";"0.298112337217";"Value";"2016-03-01";"WPM.TO";"20.350000000000";"0.298112337217";"Value";"2017-03-01";"WPM.TO";"26.340000000000";"0.298112337217";"Value";"2018-03-01";"WPM.TO";"24.700001000000";"0.065927860184";"Core";"2019-03-01";"WPM.TO";"28.410000000000";"0.063055847794";"Core";"2020-03-02";"WPM.TO";"39.040001000000";"0.042890631413";"Core";"2021-03-01";"WPM.TO";"45.110001000000";"0.322953491585";"Growth";"2022-03-01";"WPM.TO";"58.419998000000";"0.039942525953";"Core"
"2012-03-02";"SLF.TO";"21.940001000000";"0.182315397342";"Value";"2013-03-01";"SLF.TO";"28.350000000000";"0.182315397342";"Value";"2014-03-03";"SLF.TO";"38.419998000000";"0.182315397342";"Value";"2015-03-02";"SLF.TO";"38.720001000000";"0.035199697999";"Core";"2016-03-01";"SLF.TO";"41.099998000000";"0.033749912646";"Core";"2017-03-01";"SLF.TO";"48.660000000000";"0.028196316968";"Core";"2018-03-01";"SLF.TO";"52.400002000000";"0.031076682258";"Core";"2019-03-01";"SLF.TO";"50.369999000000";"0.035565151308";"Core";"2020-03-02";"SLF.TO";"59.029999000000";"0.028366090490";"Core";"2021-03-01";"SLF.TO";"61.630001000000";"0.033769342602";"Core";"2022-03-01";"SLF.TO";"65.040001000000";"0.035877033370";"Core"
"2012-03-02";"ABX.TO";"46.869999000000";"0.012930672477";"Core";"2013-03-01";"ABX.TO";"30.200001000000";"0.023449386352";"Core";"2014-03-03";"ABX.TO";"22.730000000000";"0.036742947283";"Core";"2015-03-02";"ABX.TO";"16.010000000000";"0.495302196750";"Value";"2016-03-01";"ABX.TO";"17.820000000000";"0.495302196750";"Value";"2017-03-01";"ABX.TO";"25.230000000000";"0.495302196750";"Value";"2018-03-01";"ABX.TO";"14.600000000000";"0.803055556834";"Value";"2019-03-01";"ABX.TO";"16.350000000000";"0.803055556834";"Value";"2020-03-02";"ABX.TO";"26.490000000000";"0.803055556834";"Value";"2021-03-01";"ABX.TO";"24.030001000000";"0.606260163216";"Growth";"2022-03-01";"ABX.TO";"29.889999000000";"0.078067660232";"Core"
"2012-03-02";"K.TO";"10.780000000000";"0.371057513915";"Value";"2013-03-01";"K.TO";"7.870000000000";"0.371057513915";"Value";"2014-03-03";"K.TO";"5.750000000000";"0.371057513915";"Value";"2015-03-02";"K.TO";"3.500000000000";"2.265653762850";"Value";"2016-03-01";"K.TO";"3.860000000000";"2.265653762850";"Value";"2017-03-01";"K.TO";"4.640000000000";"2.265653762850";"Value";"2018-03-01";"K.TO";"4.720000000000";"2.484027781731";"Value";"2019-03-01";"K.TO";"4.260000000000";"2.484027781731";"Value";"2020-03-02";"K.TO";"7.060000000000";"2.484027781731";"Value";"2021-03-01";"K.TO";"7.820000000000";"1.862970885976";"Growth";"2022-03-01";"K.TO";"6.620000000000";"0.352483729045";"Core"
"2012-03-02";"TRI.TO";"31.633440000000";"0.126448467192";"Value";"2013-03-01";"TRI.TO";"34.497192000000";"0.126448467192";"Value";"2014-03-03";"TRI.TO";"41.458309000000";"0.126448467192";"Value";"2015-03-02";"TRI.TO";"54.334179000000";"0.025084253904";"Core";"2016-03-01";"TRI.TO";"54.642582000000";"0.025385355001";"Core";"2017-03-01";"TRI.TO";"62.275581000000";"0.022031633614";"Core";"2018-03-01";"TRI.TO";"55.413593000000";"0.029386620219";"Core";"2019-03-01";"TRI.TO";"72.110001000000";"0.024842831937";"Core";"2020-03-02";"TRI.TO";"101.660004000000";"0.214124069998";"Growth";"2021-03-01";"TRI.TO";"111.360001000000";"0.018688978086";"Core";"2022-03-01";"TRI.TO";"129.940002000000";"0.017957844008";"Core"
