"","1 Years","2 Years","3 Years","5 Years","2017-09-2023-01"
"Annualized Returns",,,,,
"2017-09-02_to_2023-01-13_Index_7QRank","-0.767","10.899","12.674","12.941","15.413"
"2017-09-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","6.133"
"Volatility",,,,,
"2017-09-02_to_2023-01-13_Index_7QRank","20.15","15.08","20.25","17.49","17.05"
"2017-09-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","14.45"
"Tracking Error",,,,,
"2017-09-02_to_2023-01-13_Index_7QRank","8.23","6.24","7.1","6.88","6.91"
"2017-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2017-09-02_to_2023-01-13_Index_7QRank","0.69","0.69","0.98","1.2","1.34"
"2017-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2017-09-02_to_2023-01-13_Index_7QRank","0.85","0.3","0.56","0.68","0.75"
"2017-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2017-09-02_to_2023-01-13_Index_7QRank","1.11","1.02","1.1","1.08","1.08"
"2017-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2017-09-02_to_2023-01-13_Index_7QRank","82.38","82.07","88.13","84.76","83.81"
"2017-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2017-09-02_to_2023-01-13_Index_7QRank","-20.5744","-20.5744","-34.488","-34.488","-34.488"
"2017-09-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
