"","1 Years","2 Years","3 Years","5 Years","2017-12-2023-01"
"Annualized Returns",,,,,
"2017-12-02_to_2023-01-13_Index_7QRank","1.619","13.081","13.216","11.635","12.678"
"2017-12-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","4.993"
"Volatility",,,,,
"2017-12-02_to_2023-01-13_Index_7QRank","20.74","15.32","18.66","16.25","16.13"
"2017-12-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","14.77"
"Tracking Error",,,,,
"2017-12-02_to_2023-01-13_Index_7QRank","8.44","6.38","7.5","6.75","6.7"
"2017-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2017-12-02_to_2023-01-13_Index_7QRank","0.96","1.01","1","1.03","1.15"
"2017-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2017-12-02_to_2023-01-13_Index_7QRank","1.13","0.5","0.6","0.59","0.6"
"2017-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2017-12-02_to_2023-01-13_Index_7QRank","1.15","1.04","0.99","0.99","0.99"
"2017-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2017-12-02_to_2023-01-13_Index_7QRank","83.16","81.93","83.37","82.46","82.46"
"2017-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2017-12-02_to_2023-01-13_Index_7QRank","-20.1606","-20.1606","-32.6304","-32.6304","-32.6304"
"2017-12-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
