"","1 Years","2 Years","3 Years","4 Years","2018-02-2023-01"
"Annualized Returns",,,,,
"2018-02-02_to_2023-01-13_Index_7QRank","1.973","13.238","12.201","15.11","13.574"
"2018-02-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","7.966","5.691"
"Volatility",,,,,
"2018-02-02_to_2023-01-13_Index_7QRank","20.63","15.64","18.92","16.68","16.66"
"2018-02-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","15.25","14.9"
"Tracking Error",,,,,
"2018-02-02_to_2023-01-13_Index_7QRank","9.51","7.19","7.77","7.18","6.98"
"2018-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2018-02-02_to_2023-01-13_Index_7QRank","0.89","0.92","0.84","0.99","1.13"
"2018-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2018-02-02_to_2023-01-13_Index_7QRank","0.89","0.49","0.5","0.53","0.61"
"2018-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2018-02-02_to_2023-01-13_Index_7QRank","1.11","1.03","1","0.99","1.02"
"2018-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2018-02-02_to_2023-01-13_Index_7QRank","77.2","77.96","82.61","81.08","82.16"
"2018-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2018-02-02_to_2023-01-13_Index_7QRank","-19.323","-19.323","-32.3928","-32.3928","-32.3928"
"2018-02-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
