"","1 Years","2 Years","3 Years","4 Years","2018-09-2023-01"
"Annualized Returns",,,,,
"2018-09-02_to_2023-01-13_Index_7QRank","-0.961","7.134","9.311","12.794","11.386"
"2018-09-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","7.966","5.572"
"Volatility",,,,,
"2018-09-02_to_2023-01-13_Index_7QRank","18.33","14.11","19.57","17.3","17.22"
"2018-09-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","15.25","15.77"
"Tracking Error",,,,,
"2018-09-02_to_2023-01-13_Index_7QRank","5.3","6.07","10.17","9.61","9.41"
"2018-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2018-09-02_to_2023-01-13_Index_7QRank","1.04","0.09","0.36","0.5","0.62"
"2018-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2018-09-02_to_2023-01-13_Index_7QRank","0.77","0.1","0.3","0.44","0.52"
"2018-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2018-09-02_to_2023-01-13_Index_7QRank","1.06","0.95","0.97","0.94","0.92"
"2018-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2018-09-02_to_2023-01-13_Index_7QRank","91.01","80.88","72.29","68.66","70.12"
"2018-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2018-09-02_to_2023-01-13_Index_7QRank","-18.9622","-18.9622","-31.1281","-31.1281","-31.1281"
"2018-09-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
