"","1 Years","2 Years","3 Years","5 Years","10 Years","2012-04-2023-01"
"Annualized Returns",,,,,,
"2012-04-02_to_2023-01-13_Index_7QRank","3.977","13.156","7.547","7.363","14.065","14.129"
"2012-04-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.335","5.05"
"Volatility",,,,,,
"2012-04-02_to_2023-01-13_Index_7QRank","19.79","15.26","20.68","17.8","19.06","18.56"
"2012-04-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","11.72","11.55"
"Tracking Error",,,,,,
"2012-04-02_to_2023-01-13_Index_7QRank","8.92","8.04","10.95","9.49","14.75","14.24"
"2012-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Information Ratio",,,,,,
"2012-04-02_to_2023-01-13_Index_7QRank","1.17","0.81","0.17","0.28","0.59","0.64"
"2012-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Alpha Stat",,,,,,
"2012-04-02_to_2023-01-13_Index_7QRank","1.14","0.53","0.23","0.26","0.76","0.74"
"2012-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Beta Stat",,,,,,
"2012-04-02_to_2023-01-13_Index_7QRank","1.06","0.96","1.01","1.01","1.03","1.03"
"2012-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"R-Squared",,,,,,
"2012-04-02_to_2023-01-13_Index_7QRank","77.76","71.02","71.13","71.1","39.63","40.72"
"2012-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Max Drawdown",,,,,,
"2012-04-02_to_2023-01-13_Index_7QRank","-18.4462","-18.4462","-34.9466","-34.9466","-34.9466","-34.9466"
"2012-04-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265","-35.7265"
