"","1 Years","2 Years","3 Years","5 Years","2015-03-2023-01"
"Annualized Returns",,,,,
"2015-03-02_to_2023-01-13_Index_7QRank","2.881","9.873","6.799","7.69","8.767"
"2015-03-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","4.007"
"Volatility",,,,,
"2015-03-02_to_2023-01-13_Index_7QRank","19.26","14.65","19.21","16.79","15.1"
"2015-03-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","12.59"
"Tracking Error",,,,,
"2015-03-02_to_2023-01-13_Index_7QRank","7.71","7.47","9.92","8.59","8.67"
"2015-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2015-03-02_to_2023-01-13_Index_7QRank","1.21","0.44","0.11","0.35","0.55"
"2015-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2015-03-02_to_2023-01-13_Index_7QRank","0.96","0.24","0.14","0.26","0.47"
"2015-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2015-03-02_to_2023-01-13_Index_7QRank","1.06","0.94","0.95","0.97","0.98"
"2015-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2015-03-02_to_2023-01-13_Index_7QRank","82.51","73.11","72.69","73.41","66.68"
"2015-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2015-03-02_to_2023-01-13_Index_7QRank","-18.3841","-18.3841","-32.6182","-32.6182","-32.6182"
"2015-03-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
