"","1 Years","2 Years","3 Years","5 Years","10 Years","2012-07-2023-01"
"Annualized Returns",,,,,,
"2012-07-02_to_2023-01-13_Index_7QRank","-4.196","2.494","1.926","5.269","12.899","12.94"
"2012-07-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.335","5.691"
"Volatility",,,,,,
"2012-07-02_to_2023-01-13_Index_7QRank","17.44","13.92","18.53","16.61","15.37","15.02"
"2012-07-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","11.72","11.5"
"Tracking Error",,,,,,
"2012-07-02_to_2023-01-13_Index_7QRank","5.49","7.03","10.06","9.52","10.97","10.71"
"2012-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Information Ratio",,,,,,
"2012-07-02_to_2023-01-13_Index_7QRank","0.42","-0.58","-0.37","0.06","0.69","0.68"
"2012-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Alpha Stat",,,,,,
"2012-07-02_to_2023-01-13_Index_7QRank","0.25","-0.36","-0.32","0.12","0.66","0.64"
"2012-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Beta Stat",,,,,,
"2012-07-02_to_2023-01-13_Index_7QRank","0.99","0.9","0.9","0.92","0.92","0.92"
"2012-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"R-Squared",,,,,,
"2012-07-02_to_2023-01-13_Index_7QRank","88.99","74.28","70.43","67.11","48.93","49.1"
"2012-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Max Drawdown",,,,,,
"2012-07-02_to_2023-01-13_Index_7QRank","-21.2184","-21.2184","-32.2737","-32.2737","-32.2737","-32.2737"
"2012-07-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265","-35.7265"
