"","1 Years","2 Years","2020-03-2023-01"
"Annualized Returns",,,
"2020-03-02_to_2023-01-13_Index_7QRank","-0.495","9.938","13.511"
"2020-03-02_to_2023-01-13_TSX60_Index","-6.482","6.606","7.478"
"Volatility",,,
"2020-03-02_to_2023-01-13_Index_7QRank","21.24","16.32","17.79"
"2020-03-02_to_2023-01-13_TSX60_Index","16.64","13.46","14.11"
"Tracking Error",,,
"2020-03-02_to_2023-01-13_Index_7QRank","7.71","6.44","7.29"
"2020-03-02_to_2023-01-13_TSX60_Index","-","-","-"
"Information Ratio",,,
"2020-03-02_to_2023-01-13_Index_7QRank","0.78","0.52","0.83"
"2020-03-02_to_2023-01-13_TSX60_Index","-","-","-"
"Alpha Stat",,,
"2020-03-02_to_2023-01-13_Index_7QRank","0.84","0.14","0.43"
"2020-03-02_to_2023-01-13_TSX60_Index","-","-","-"
"Beta Stat",,,
"2020-03-02_to_2023-01-13_Index_7QRank","1.21","1.12","1.16"
"2020-03-02_to_2023-01-13_TSX60_Index","-","-","-"
"R-Squared",,,
"2020-03-02_to_2023-01-13_Index_7QRank","88.28","84.74","84.36"
"2020-03-02_to_2023-01-13_TSX60_Index","-","-","-"
"Max Drawdown",,,
"2020-03-02_to_2023-01-13_Index_7QRank","-21.2716","-21.2716","-33.5941"
"2020-03-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-31.3526"
