"","1 Years","2 Years","3 Years","5 Years","2017-03-2023-01"
"Annualized Returns",,,,,
"2017-03-02_to_2023-01-13_Index_7QRank","-0.495","9.938","11.981","11.758","12.612"
"2017-03-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","4.92"
"Volatility",,,,,
"2017-03-02_to_2023-01-13_Index_7QRank","21.24","16.32","21.35","18.78","17.47"
"2017-03-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","13.89"
"Tracking Error",,,,,
"2017-03-02_to_2023-01-13_Index_7QRank","7.71","6.44","7.42","6.96","6.66"
"2017-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2017-03-02_to_2023-01-13_Index_7QRank","0.78","0.52","0.85","1.02","1.15"
"2017-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2017-03-02_to_2023-01-13_Index_7QRank","0.84","0.14","0.44","0.5","0.55"
"2017-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2017-03-02_to_2023-01-13_Index_7QRank","1.21","1.12","1.17","1.19","1.18"
"2017-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2017-03-02_to_2023-01-13_Index_7QRank","88.28","84.74","89.53","88.26","87.23"
"2017-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2017-03-02_to_2023-01-13_Index_7QRank","-21.2716","-21.2716","-37.8635","-37.8635","-37.8635"
"2017-03-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
