"","1 Years","2 Years","3 Years","4 Years","2018-05-2023-01"
"Annualized Returns",,,,,
"2018-05-02_to_2023-01-13_Index_7QRank","-0.265","6.368","7.585","12.192","10.759"
"2018-05-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","7.966","6.046"
"Volatility",,,,,
"2018-05-02_to_2023-01-13_Index_7QRank","19.19","14.19","18.92","16.74","16.82"
"2018-05-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","15.25","15.24"
"Tracking Error",,,,,
"2018-05-02_to_2023-01-13_Index_7QRank","6.06","5.76","9.18","8.67","8.42"
"2018-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2018-05-02_to_2023-01-13_Index_7QRank","1.03","-0.04","0.21","0.49","0.56"
"2018-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2018-05-02_to_2023-01-13_Index_7QRank","0.81","-0.04","0.14","0.34","0.38"
"2018-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2018-05-02_to_2023-01-13_Index_7QRank","1.1","0.96","0.96","0.94","0.96"
"2018-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2018-05-02_to_2023-01-13_Index_7QRank","89.73","82.88","75.91","72.87","74.65"
"2018-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2018-05-02_to_2023-01-13_Index_7QRank","-18.499","-18.499","-31.8799","-31.8799","-31.8799"
"2018-05-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
