"","1 Years","2 Years","3 Years","4 Years","2018-12-2023-01"
"Annualized Returns",,,,,
"2018-12-02_to_2023-01-13_Index_7QRank","-1.398","8.267","9.594","13.02","12.718"
"2018-12-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","7.966","7.081"
"Volatility",,,,,
"2018-12-02_to_2023-01-13_Index_7QRank","17.89","14.02","20.05","17.69","17.94"
"2018-12-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","15.25","15.56"
"Tracking Error",,,,,
"2018-12-02_to_2023-01-13_Index_7QRank","5.27","5.85","8.91","8.47","8.38"
"2018-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2018-12-02_to_2023-01-13_Index_7QRank","0.96","0.28","0.44","0.6","0.67"
"2018-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2018-12-02_to_2023-01-13_Index_7QRank","0.58","0.16","0.27","0.4","0.4"
"2018-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2018-12-02_to_2023-01-13_Index_7QRank","1.03","0.95","1.04","1.02","1.02"
"2018-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2018-12-02_to_2023-01-13_Index_7QRank","90.43","82.03","79.8","76.58","77.71"
"2018-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2018-12-02_to_2023-01-13_Index_7QRank","-19.0404","-19.0404","-34.1267","-34.1267","-34.1267"
"2018-12-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
