"","1 Years","2 Years","3 Years","5 Years","2016-12-2023-01"
"Annualized Returns",,,,,
"2016-12-02_to_2023-01-13_Index_7QRank","-2.015","7.717","9.46","9.858","11.199"
"2016-12-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.317"
"Volatility",,,,,
"2016-12-02_to_2023-01-13_Index_7QRank","19.79","15.19","20.8","18.07","16.51"
"2016-12-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","13.6"
"Tracking Error",,,,,
"2016-12-02_to_2023-01-13_Index_7QRank","5.32","4.84","6.5","6.29","5.98"
"2016-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2016-12-02_to_2023-01-13_Index_7QRank","0.84","0.23","0.58","0.82","0.98"
"2016-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2016-12-02_to_2023-01-13_Index_7QRank","0.6","-0.05","0.26","0.37","0.44"
"2016-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2016-12-02_to_2023-01-13_Index_7QRank","1.16","1.07","1.15","1.15","1.14"
"2016-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2016-12-02_to_2023-01-13_Index_7QRank","93.88","89.78","91.58","89.19","88.07"
"2016-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2016-12-02_to_2023-01-13_Index_7QRank","-19.6677","-19.6677","-37.0835","-37.0835","-37.0835"
"2016-12-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
