"","1 Years","2 Years","3 Years","4 Years","2018-04-2023-01"
"Annualized Returns",,,,,
"2018-04-02_to_2023-01-13_Index_7QRank","2.029","10.794","9.15","12.117","11.103"
"2018-04-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","7.966","6.517"
"Volatility",,,,,
"2018-04-02_to_2023-01-13_Index_7QRank","19.18","14.37","19.45","17.11","17.12"
"2018-04-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","15.25","15.16"
"Tracking Error",,,,,
"2018-04-02_to_2023-01-13_Index_7QRank","7.82","6.48","9.19","8.46","8.2"
"2018-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2018-04-02_to_2023-01-13_Index_7QRank","1.09","0.65","0.38","0.49","0.56"
"2018-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2018-04-02_to_2023-01-13_Index_7QRank","1","0.36","0.32","0.33","0.39"
"2018-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2018-04-02_to_2023-01-13_Index_7QRank","1.05","0.95","0.99","0.98","0.99"
"2018-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2018-04-02_to_2023-01-13_Index_7QRank","81.77","78.89","77.01","75.04","76.66"
"2018-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2018-04-02_to_2023-01-13_Index_7QRank","-18.2827","-18.2827","-33.9305","-33.9305","-33.9305"
"2018-04-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
