"","1 Years","2 Years","3 Years","5 Years","2014-01-2023-01"
"Annualized Returns",,,,,
"2014-01-02_to_2023-01-13_Index_7QRank","0.154","8.013","8.492","6.863","33.51"
"2014-01-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.008"
"Volatility",,,,,
"2014-01-02_to_2023-01-13_Index_7QRank","21.21","16.11","19.39","17.24","79.67"
"2014-01-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","12.07"
"Tracking Error",,,,,
"2014-01-02_to_2023-01-13_Index_7QRank","8.69","7.65","7.13","6.59","77.98"
"2014-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2014-01-02_to_2023-01-13_Index_7QRank","0.76","0.18","0.39","0.33","0.37"
"2014-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2014-01-02_to_2023-01-13_Index_7QRank","0.91","0.05","0.24","0.17","3.1"
"2014-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2014-01-02_to_2023-01-13_Index_7QRank","1.18","1.05","1.04","1.07","1.42"
"2014-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2014-01-02_to_2023-01-13_Index_7QRank","83.49","76.63","86.21","85.58","3.69"
"2014-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2014-01-02_to_2023-01-13_Index_7QRank","-20.7486","-20.7486","-33.742","-33.742","-42.8766"
"2014-01-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
