"Inception";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year1";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year2";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year3";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year4";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year5";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year6";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year7";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year8";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year9";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin"
"2013-12-02";"OTEX.TO";"23.142500000000";"0.027006589608";"Core";"2014-12-01";"OTEX.TO";"33.529999000000";"0.138370835794";"Growth";"2015-12-01";"OTEX.TO";"32.919998000000";"0.027329191607";"Core";"2016-12-01";"OTEX.TO";"41.535000000000";"0.145366224809";"Core";"2017-12-01";"OTEX.TO";"41.160000000000";"0.149791751231";"Core";"2018-12-03";"OTEX.TO";"45.730000000000";"0.147635525997";"Core";"2019-12-02";"OTEX.TO";"57.470001000000";"0.133853758091";"Core";"2020-12-01";"OTEX.TO";"57.419998000000";"0.126263469521";"Core";"2021-12-01";"OTEX.TO";"59.610001000000";"0.128792007113";"Core";"2022-12-01";"OTEX.TO";"39.439999000000";"1.543300243462";"Value"
"2013-12-02";"GIL.TO";"25.295000000000";"0.131778348817";"Growth";"2014-12-01";"GIL.TO";"33.145000000000";"0.139978095815";"Growth";"2015-12-01";"GIL.TO";"41.849998000000";"0.128985946386";"Growth";"2016-12-01";"GIL.TO";"36.290001000000";"0.166376025932";"Core";"2017-12-01";"GIL.TO";"40.560001000000";"0.152007601792";"Core";"2018-12-03";"GIL.TO";"44.540001000000";"1.364219848908";"Growth";"2019-12-02";"GIL.TO";"38.500000000000";"0.199807158736";"Core";"2020-12-01";"GIL.TO";"34.389999000000";"0.210818504745";"Core";"2021-12-01";"GIL.TO";"51.480000000000";"1.576533421538";"Growth";"2022-12-01";"GIL.TO";"39.509998000000";"0.273326227962";"Core"
"2013-12-02";"TRP.TO";"47.389999000000";"0.013188436657";"Core";"2014-12-01";"TRP.TO";"54.200001000000";"0.014266832411";"Core";"2015-12-01";"TRP.TO";"43.310001000000";"0.020772960339";"Core";"2016-12-01";"TRP.TO";"58.880001000000";"0.102543920600";"Core";"2017-12-01";"TRP.TO";"61.660000000000";"0.099990731117";"Core";"2018-12-03";"TRP.TO";"55.380001000000";"0.121909940085";"Core";"2019-12-02";"TRP.TO";"67.150002000000";"0.114558084620";"Core";"2020-12-01";"TRP.TO";"57.599998000000";"0.125868896165";"Core";"2021-12-01";"TRP.TO";"58.410000000000";"0.131437967348";"Core";"2022-12-01";"TRP.TO";"58.779999000000";"0.183720974887";"Core"
"2013-12-02";"TD.TO";"48.430000000000";"0.012905224035";"Core";"2014-12-01";"TD.TO";"57.070000000000";"0.013549366234";"Core";"2015-12-01";"TD.TO";"55.259998000000";"0.016280799233";"Core";"2016-12-01";"TD.TO";"63.070000000000";"0.095731507015";"Core";"2017-12-01";"TD.TO";"73.320000000000";"0.084089313703";"Core";"2018-12-03";"TD.TO";"73.059998000000";"0.092408606469";"Core";"2019-12-02";"TD.TO";"76.239998000000";"0.100899472890";"Core";"2020-12-01";"TD.TO";"70.709999000000";"0.102532149199";"Core";"2021-12-01";"TD.TO";"91.980003000000";"0.083466964801";"Core";"2022-12-01";"TD.TO";"91.839996000000";"0.117586228119";"Core"
"2013-12-02";"CCO.TO";"21.900000000000";"0.028538812785";"Core";"2014-12-01";"CCO.TO";"20.730000000000";"0.037301607861";"Core";"2015-12-01";"CCO.TO";"16.709999000000";"0.053840633566";"Core";"2016-12-01";"CCO.TO";"12.650000000000";"2.776991113457";"Value";"2017-12-01";"CCO.TO";"12.040000000000";"2.776991113457";"Value";"2018-12-03";"CCO.TO";"16.020000000000";"2.776991113457";"Value";"2019-12-02";"CCO.TO";"12.150000000000";"0.633133795173";"Core";"2020-12-01";"CCO.TO";"12.820000000000";"0.565526378109";"Core";"2021-12-01";"CCO.TO";"28.790001000000";"2.819032223750";"Growth";"2022-12-01";"CCO.TO";"31.920000000000";"1.613517834604";"Growth"
"2013-12-02";"WPM.TO";"20.889999000000";"0.174071987096";"Value";"2014-12-01";"WPM.TO";"24.209999000000";"0.174071987096";"Value";"2015-12-01";"WPM.TO";"18.080000000000";"0.174071987096";"Value";"2016-12-01";"WPM.TO";"24.110001000000";"1.457027628710";"Value";"2017-12-01";"WPM.TO";"26.620001000000";"1.457027628710";"Value";"2018-12-03";"WPM.TO";"21.340000000000";"1.457027628710";"Value";"2019-12-02";"WPM.TO";"37.189999000000";"1.241071656606";"Growth";"2020-12-01";"WPM.TO";"53.009998000000";"1.230908054480";"Growth";"2021-12-01";"WPM.TO";"52.000000000000";"0.147640224476";"Core";"2022-12-01";"WPM.TO";"53.889999000000";"0.200391889414";"Core"
"2013-12-02";"SLF.TO";"37.330002000000";"0.089293682152";"Growth";"2014-12-01";"SLF.TO";"42.459999000000";"0.018211548497";"Core";"2015-12-01";"SLF.TO";"44.900002000000";"0.020037347282";"Core";"2016-12-01";"SLF.TO";"52.560001000000";"0.612662205235";"Growth";"2017-12-01";"SLF.TO";"51.250000000000";"0.120301043525";"Core";"2018-12-03";"SLF.TO";"49.029999000000";"0.137698811779";"Core";"2019-12-02";"SLF.TO";"60.290001000000";"0.127592892416";"Core";"2020-12-01";"SLF.TO";"57.090000000000";"0.126993311742";"Core";"2021-12-01";"SLF.TO";"67.559998000000";"0.113636647425";"Core";"2022-12-01";"SLF.TO";"63.730000000000";"0.169451101838";"Core"
"2013-12-02";"ABX.TO";"16.540001000000";"0.219852685400";"Value";"2014-12-01";"ABX.TO";"14.070000000000";"0.219852685400";"Value";"2015-12-01";"ABX.TO";"10.160000000000";"0.219852685400";"Value";"2016-12-01";"ABX.TO";"20.020000000000";"0.301587719653";"Core";"2017-12-01";"ABX.TO";"17.850000000000";"0.345402155780";"Core";"2018-12-03";"ABX.TO";"17.200001000000";"0.392521640193";"Core";"2019-12-02";"ABX.TO";"22.459999000000";"2.055006933354";"Growth";"2020-12-01";"ABX.TO";"30.860001000000";"2.114401535702";"Growth";"2021-12-01";"ABX.TO";"23.580000000000";"0.325584888583";"Core";"2022-12-01";"ABX.TO";"23.010000000000";"0.469322847463";"Core"
"2013-12-02";"K.TO";"4.830000000000";"0.752870318088";"Value";"2014-12-01";"K.TO";"3.460000000000";"0.752870318088";"Value";"2015-12-01";"K.TO";"2.750000000000";"0.752870318088";"Value";"2016-12-01";"K.TO";"4.410000000000";"7.301933360498";"Growth";"2017-12-01";"K.TO";"5.190000000000";"1.187943830574";"Core";"2018-12-03";"K.TO";"3.760000000000";"1.795577820170";"Core";"2019-12-02";"K.TO";"5.790000000000";"1.328596824068";"Core";"2020-12-01";"K.TO";"9.640000000000";"6.768717168689";"Growth";"2021-12-01";"K.TO";"7.460000000000";"1.029127570077";"Core";"2022-12-01";"K.TO";"5.910000000000";"10.299113377130";"Value"
"2013-12-02";"TRI.TO";"44.035686000000";"0.014193034259";"Core";"2014-12-01";"TRI.TO";"49.851303000000";"0.015511376522";"Core";"2015-12-01";"TRI.TO";"60.414143000000";"0.089350958736";"Growth";"2016-12-01";"TRI.TO";"63.299923000000";"0.095383783444";"Core";"2017-12-01";"TRI.TO";"62.275581000000";"0.099002343803";"Core";"2018-12-03";"TRI.TO";"65.830002000000";"0.102557684927";"Core";"2019-12-02";"TRI.TO";"93.169998000000";"0.495389660394";"Growth";"2020-12-01";"TRI.TO";"103.099998000000";"0.632884915344";"Growth";"2021-12-01";"TRI.TO";"152.389999000000";"0.532580491327";"Growth";"2022-12-01";"TRI.TO";"157.550003000000";"0.068544071815";"Core"
