"","1 Years","2 Years","3 Years","5 Years","2016-11-2023-01"
"Annualized Returns",,,,,
"2016-11-02_to_2023-01-13_Index_7QRank","-3.696","7.964","7.733","8.923","10.569"
"2016-11-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.798"
"Volatility",,,,,
"2016-11-02_to_2023-01-13_Index_7QRank","19.69","15.54","20.78","18.08","16.42"
"2016-11-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","13.51"
"Tracking Error",,,,,
"2016-11-02_to_2023-01-13_Index_7QRank","5.64","4.89","6.4","6.13","5.75"
"2016-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2016-11-02_to_2023-01-13_Index_7QRank","0.49","0.28","0.32","0.69","0.83"
"2016-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2016-11-02_to_2023-01-13_Index_7QRank","0.48","0.05","0.14","0.29","0.32"
"2016-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2016-11-02_to_2023-01-13_Index_7QRank","1.14","1.1","1.15","1.15","1.15"
"2016-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2016-11-02_to_2023-01-13_Index_7QRank","92.52","90.45","91.89","89.94","89.07"
"2016-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2016-11-02_to_2023-01-13_Index_7QRank","-20.7816","-20.7816","-38.3223","-38.3223","-38.3223"
"2016-11-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
