"","1 Years","2 Years","3 Years","5 Years","2013-12-2023-01"
"Annualized Returns",,,,,
"2013-12-02_to_2023-01-13_Index_7QRank","1.164","9.464","8.556","7.383","36.108"
"2013-12-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.074"
"Volatility",,,,,
"2013-12-02_to_2023-01-13_Index_7QRank","20.02","15.57","20.54","17.92","76.99"
"2013-12-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","12.01"
"Tracking Error",,,,,
"2013-12-02_to_2023-01-13_Index_7QRank","6.59","6.48","7.02","6.76","75.18"
"2013-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2013-12-02_to_2023-01-13_Index_7QRank","1.16","0.44","0.41","0.4","0.41"
"2013-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2013-12-02_to_2023-01-13_Index_7QRank","0.82","0.1","0.2","0.19","3.18"
"2013-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2013-12-02_to_2023-01-13_Index_7QRank","1.15","1.05","1.12","1.12","1.46"
"2013-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2013-12-02_to_2023-01-13_Index_7QRank","89.6","82.07","89.07","86.59","4.29"
"2013-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2013-12-02_to_2023-01-13_Index_7QRank","-19.8873","-19.8873","-37.5233","-37.5233","-42.6905"
"2013-12-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
