"","1 Years","2 Years","2020-08-2023-01"
"Annualized Returns",,,
"2020-08-02_to_2023-01-13_Index_7QRank","2.749","16.086","18.501"
"2020-08-02_to_2023-01-13_TSX60_Index","-6.482","6.606","9.202"
"Volatility",,,
"2020-08-02_to_2023-01-13_Index_7QRank","21.13","15.86","16.42"
"2020-08-02_to_2023-01-13_TSX60_Index","16.64","13.46","14.23"
"Tracking Error",,,
"2020-08-02_to_2023-01-13_Index_7QRank","8.97","6.91","6.42"
"2020-08-02_to_2023-01-13_TSX60_Index","-","-","-"
"Information Ratio",,,
"2020-08-02_to_2023-01-13_Index_7QRank","1.03","1.37","1.45"
"2020-08-02_to_2023-01-13_TSX60_Index","-","-","-"
"Alpha Stat",,,
"2020-08-02_to_2023-01-13_Index_7QRank","1.13","0.71","0.77"
"2020-08-02_to_2023-01-13_TSX60_Index","-","-","-"
"Beta Stat",,,
"2020-08-02_to_2023-01-13_Index_7QRank","1.16","1.06","1.06"
"2020-08-02_to_2023-01-13_TSX60_Index","-","-","-"
"R-Squared",,,
"2020-08-02_to_2023-01-13_Index_7QRank","81.8","80.42","84.46"
"2020-08-02_to_2023-01-13_TSX60_Index","-","-","-"
"Max Drawdown",,,
"2020-08-02_to_2023-01-13_Index_7QRank","-19.8768","-19.8768","-19.8768"
"2020-08-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-17.7766"
