"","1 Years","2 Years","2021-01-2023-01"
"Annualized Returns",,,
"2021-01-02_to_2023-01-13_Index_7QRank","-2.239","9.13","10.353"
"2021-01-02_to_2023-01-13_TSX60_Index","-6.482","6.606","8.073"
"Volatility",,,
"2021-01-02_to_2023-01-13_Index_7QRank","20.22","15.18","15.18"
"2021-01-02_to_2023-01-13_TSX60_Index","16.64","13.46","13.46"
"Tracking Error",,,
"2021-01-02_to_2023-01-13_Index_7QRank","8.22","6.3","6.3"
"2021-01-02_to_2023-01-13_TSX60_Index","-","-","-"
"Information Ratio",,,
"2021-01-02_to_2023-01-13_Index_7QRank","0.52","0.4","0.36"
"2021-01-02_to_2023-01-13_TSX60_Index","-","-","-"
"Alpha Stat",,,
"2021-01-02_to_2023-01-13_Index_7QRank","0.75","0.19","0.19"
"2021-01-02_to_2023-01-13_TSX60_Index","-","-","-"
"Beta Stat",,,
"2021-01-02_to_2023-01-13_Index_7QRank","1.12","1.03","1.03"
"2021-01-02_to_2023-01-13_TSX60_Index","-","-","-"
"R-Squared",,,
"2021-01-02_to_2023-01-13_Index_7QRank","82.67","82","82"
"2021-01-02_to_2023-01-13_TSX60_Index","-","-","-"
"Max Drawdown",,,
"2021-01-02_to_2023-01-13_Index_7QRank","-20.3188","-20.3188","-20.3188"
"2021-01-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-17.7766"
