"","1 Years","2 Years","3 Years","5 Years","2016-04-2023-01"
"Annualized Returns",,,,,
"2016-04-02_to_2023-01-13_Index_7QRank","-4.681","5.303","5.396","6.619","10.909"
"2016-04-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","6.742"
"Volatility",,,,,
"2016-04-02_to_2023-01-13_Index_7QRank","17.45","14","18.25","16.55","14.87"
"2016-04-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","12.98"
"Tracking Error",,,,,
"2016-04-02_to_2023-01-13_Index_7QRank","5.04","5.02","6.88","6.56","6.68"
"2016-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2016-04-02_to_2023-01-13_Index_7QRank","0.36","-0.26","-0.04","0.3","0.62"
"2016-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2016-04-02_to_2023-01-13_Index_7QRank","0.2","-0.14","-0.04","0.16","0.29"
"2016-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2016-04-02_to_2023-01-13_Index_7QRank","1","0.97","0.98","1.02","1.02"
"2016-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2016-04-02_to_2023-01-13_Index_7QRank","90.74","86.61","85.39","84.03","79.61"
"2016-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2016-04-02_to_2023-01-13_Index_7QRank","-20.8103","-20.8103","-33.6404","-33.6404","-33.6404"
"2016-04-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
