"","1 Years","2 Years","3 Years","4 Years","2018-11-2023-01"
"Annualized Returns",,,,,
"2018-11-02_to_2023-01-13_Index_7QRank","-1.951","5.605","7.95","11.934","12.014"
"2018-11-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","7.966","7.413"
"Volatility",,,,,
"2018-11-02_to_2023-01-13_Index_7QRank","17.78","14.24","19.3","17.06","17.4"
"2018-11-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","15.25","15.74"
"Tracking Error",,,,,
"2018-11-02_to_2023-01-13_Index_7QRank","5.72","6.08","9.67","9.03","8.96"
"2018-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2018-11-02_to_2023-01-13_Index_7QRank","0.79","-0.16","0.23","0.44","0.51"
"2018-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2018-11-02_to_2023-01-13_Index_7QRank","0.53","-0.06","0.17","0.33","0.41"
"2018-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2018-11-02_to_2023-01-13_Index_7QRank","1.01","0.96","0.97","0.95","0.95"
"2018-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2018-11-02_to_2023-01-13_Index_7QRank","88.51","81.09","74.22","71.56","73.18"
"2018-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2018-11-02_to_2023-01-13_Index_7QRank","-19.607","-19.607","-32.2989","-32.2989","-32.2989"
"2018-11-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
