"","1 Years","2 Years","3 Years","5 Years","2014-11-2023-01"
"Annualized Returns",,,,,
"2014-11-02_to_2023-01-13_Index_7QRank","2.944","14.895","11.542","9.847","13.778"
"2014-11-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","4.56"
"Volatility",,,,,
"2014-11-02_to_2023-01-13_Index_7QRank","22.67","17.01","20.01","17.48","15.32"
"2014-11-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","12.43"
"Tracking Error",,,,,
"2014-11-02_to_2023-01-13_Index_7QRank","11.77","9.32","8.44","7.34","8.15"
"2014-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2014-11-02_to_2023-01-13_Index_7QRank","0.8","0.89","0.69","0.7","1.13"
"2014-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2014-11-02_to_2023-01-13_Index_7QRank","1.22","0.66","0.5","0.46","0.71"
"2014-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2014-11-02_to_2023-01-13_Index_7QRank","1.18","1.06","1.05","1.07","1.04"
"2014-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2014-11-02_to_2023-01-13_Index_7QRank","71.91","68.8","81.89","82.42","71.54"
"2014-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2014-11-02_to_2023-01-13_Index_7QRank","-21.4929","-21.4929","-34.3777","-34.3777","-34.3777"
"2014-11-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
