"","1 Years","2 Years","3 Years","5 Years","2018-01-2023-01"
"Annualized Returns",,,,,
"2018-01-02_to_2023-01-13_Index_7QRank","-2.094","9.387","10.684","10.133","10.291"
"2018-01-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","4.698"
"Volatility",,,,,
"2018-01-02_to_2023-01-13_Index_7QRank","20.19","15.17","17.74","15.62","15.62"
"2018-01-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","14.87"
"Tracking Error",,,,,
"2018-01-02_to_2023-01-13_Index_7QRank","8.29","6.37","7.34","6.44","6.44"
"2018-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2018-01-02_to_2023-01-13_Index_7QRank","0.53","0.44","0.68","0.85","0.87"
"2018-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2018-01-02_to_2023-01-13_Index_7QRank","0.76","0.22","0.42","0.47","0.47"
"2018-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2018-01-02_to_2023-01-13_Index_7QRank","1.11","1.02","0.94","0.96","0.96"
"2018-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2018-01-02_to_2023-01-13_Index_7QRank","82.22","81.55","82.77","82.88","82.88"
"2018-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2018-01-02_to_2023-01-13_Index_7QRank","-20.2989","-20.2989","-30.5913","-30.5913","-30.5913"
"2018-01-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
