"","1 Years","2 Years","3 Years","2019-07-2023-01"
"Annualized Returns",,,,
"2019-07-02_to_2023-01-13_Index_7QRank","-4.673","7.226","6.73","7.393"
"2019-07-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","6.129"
"Volatility",,,,
"2019-07-02_to_2023-01-13_Index_7QRank","18.39","14.79","19.28","18.01"
"2019-07-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","16.08"
"Tracking Error",,,,
"2019-07-02_to_2023-01-13_Index_7QRank","6.01","5.16","6.04","5.76"
"2019-07-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Information Ratio",,,,
"2019-07-02_to_2023-01-13_Index_7QRank","0.3","0.12","0.17","0.22"
"2019-07-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Alpha Stat",,,,
"2019-07-02_to_2023-01-13_Index_7QRank","0.24","-0.02","0.05","0.08"
"2019-07-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Beta Stat",,,,
"2019-07-02_to_2023-01-13_Index_7QRank","1.05","1.03","1.06","1.06"
"2019-07-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"R-Squared",,,,
"2019-07-02_to_2023-01-13_Index_7QRank","88.31","87.33","90.18","89.84"
"2019-07-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Max Drawdown",,,,
"2019-07-02_to_2023-01-13_Index_7QRank","-21.6995","-21.6995","-37.5253","-37.5253"
"2019-07-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265"
