"","1 Years","2 Years","3 Years","5 Years","10 Years","2012-09-2023-01"
"Annualized Returns",,,,,,
"2012-09-02_to_2023-01-13_Index_7QRank","0.481","7.528","6.262","9.817","16.614","16.735"
"2012-09-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.335","5.728"
"Volatility",,,,,,
"2012-09-02_to_2023-01-13_Index_7QRank","18.79","15.07","20.15","17.51","16.36","16.1"
"2012-09-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","11.72","11.55"
"Tracking Error",,,,,,
"2012-09-02_to_2023-01-13_Index_7QRank","6.46","8.12","11.34","11.59","12.37","12.18"
"2012-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Information Ratio",,,,,,
"2012-09-02_to_2023-01-13_Index_7QRank","1.08","0.11","0.05","0.44","0.91","0.9"
"2012-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Alpha Stat",,,,,,
"2012-09-02_to_2023-01-13_Index_7QRank","0.88","0.15","0.08","0.53","0.97","0.95"
"2012-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Beta Stat",,,,,,
"2012-09-02_to_2023-01-13_Index_7QRank","1.06","0.94","0.96","0.89","0.92","0.92"
"2012-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"R-Squared",,,,,,
"2012-09-02_to_2023-01-13_Index_7QRank","87.21","69.86","67.43","56.34","42.63","42.72"
"2012-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Max Drawdown",,,,,,
"2012-09-02_to_2023-01-13_Index_7QRank","-19.6931","-19.6931","-30.9902","-30.9902","-30.9902","-30.9902"
"2012-09-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265","-35.7265"
