"","1 Years","2 Years","3 Years","5 Years","2014-06-2023-01"
"Annualized Returns",,,,,
"2014-06-02_to_2023-01-13_Index_7QRank","1.437","12.955","11.715","8.994","12.366"
"2014-06-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","4.374"
"Volatility",,,,,
"2014-06-02_to_2023-01-13_Index_7QRank","22.93","17.47","21.08","18.67","15.47"
"2014-06-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","12.25"
"Tracking Error",,,,,
"2014-06-02_to_2023-01-13_Index_7QRank","9.95","8.67","7.84","7.2","7.57"
"2014-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2014-06-02_to_2023-01-13_Index_7QRank","0.8","0.73","0.77","0.6","1.06"
"2014-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2014-06-02_to_2023-01-13_Index_7QRank","1.1","0.45","0.45","0.34","0.6"
"2014-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2014-06-02_to_2023-01-13_Index_7QRank","1.27","1.13","1.14","1.17","1.11"
"2014-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2014-06-02_to_2023-01-13_Index_7QRank","83.38","75.3","87.11","86.76","76.49"
"2014-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2014-06-02_to_2023-01-13_Index_7QRank","-22.7384","-22.7384","-36.7084","-36.7084","-36.7084"
"2014-06-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
