"","1 Years","2 Years","3 Years","5 Years","2015-01-2023-01"
"Annualized Returns",,,,,
"2015-01-02_to_2023-01-13_Index_7QRank","0.315","10.462","8.883","7.109","11.172"
"2015-01-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","4.388"
"Volatility",,,,,
"2015-01-02_to_2023-01-13_Index_7QRank","20.91","15.82","17.8","15.7","14.48"
"2015-01-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","12.55"
"Tracking Error",,,,,
"2015-01-02_to_2023-01-13_Index_7QRank","9.63","7.91","8.17","6.86","7.64"
"2015-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2015-01-02_to_2023-01-13_Index_7QRank","0.71","0.49","0.39","0.35","0.89"
"2015-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2015-01-02_to_2023-01-13_Index_7QRank","0.97","0.33","0.31","0.25","0.5"
"2015-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2015-01-02_to_2023-01-13_Index_7QRank","1.12","1.02","0.92","0.95","0.98"
"2015-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2015-01-02_to_2023-01-13_Index_7QRank","77.47","73.83","78.95","80.76","71.86"
"2015-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2015-01-02_to_2023-01-13_Index_7QRank","-20.9071","-20.9071","-31.1061","-31.1061","-31.1061"
"2015-01-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
