"","2019-07-02_to_2023-01-13_Index_7QRank","2019-07-02_to_2023-01-13_TSX60_Index"
"2019-07-02",0,0
"2019-07-03",0,0
"2019-07-04",0,0
"2019-07-05",0,-0.313240974607321
"2019-07-08",0,-0.784616085513123
"2019-07-09",0,-0.158134136298482
"2019-07-10",0,-0.209498946450681
"2019-07-11",0,-0.338422138540861
"2019-07-12",0,-0.686918727768593
"2019-07-15",0,-0.622452168939913
"2019-07-16",0,-0.626481949214641
"2019-07-17",0,-0.845052864067075
"2019-07-18",0,-0.782601195375765
"2019-07-19",0,-0.87526629056045
"2019-07-22",0,-0.605330565555839
"2019-07-23",0,-0.257846384180405
"2019-07-24",0,-0.0725161938109897
"2019-07-25",0,-0.804764986886841
"2019-07-26",0,-0.520725030920621
"2019-07-29",0,-0.801737688897186
"2019-07-30",0,-1.05656670065513
"2019-07-31",0,-1.32045775524762
"2019-08-01",0,-1.61657712647088
"2019-08-02",0,-2.35183336640202
"2019-08-06",0,-3.17573484681029
"2019-08-07",0,-2.35486066439166
"2019-08-08",0,-1.51886984315917
"2019-08-09",0,-1.86333665211214
"2019-08-12",0,-2.44046868131197
"2019-08-13",0,-1.63671610227741
"2019-08-14",0,-3.5534423802463
"2019-08-15",0,-3.72668322979147
"2019-08-16",0,-2.80205709364901
"2019-08-19",0,-1.8673664323869
"2019-08-20",0,-2.58450851221604
"2019-08-21",0,-1.90262204700729
"2019-08-22",0,-2.19068185768106
"2019-08-23",0,-3.64207769515624
"2019-08-26",0,-3.12034025638335
"2019-08-27",0,-2.69630017535499
"2019-08-28",0,-2.21787791175199
"2019-08-29",0,-1.37383745553719
"2019-08-30",0,-1.04649224996826
"2019-09-03",0,-1.38289949837176
"2019-09-04",0,-1.16937077164635
"2019-09-05",0,-0.250799231483179
"2019-09-06",0,-0.488496714289866
"2019-09-09",0,-0.773539152541181
"2019-09-10",0,-0.478422263603018
"2019-09-11",0,0
"2019-09-12",0,0
"2019-09-13",0,0
"2019-09-16",0,0
"2019-09-17",0,0
"2019-09-18",0,0
"2019-09-19",0,0
"2019-09-20",0,0
"2019-09-23",0,-0.309516577437752
"2019-09-24",0,-0.739674651905919
"2019-09-25",0,-0.758462762267353
"2019-09-26",0,-0.707039080536387
"2019-09-27",0,-1.19653367159727
"2019-09-30",0,-1.31717516862767
"2019-10-01",0,-2.5928274439721
"2019-10-02",0,-3.55105030701701
"2019-10-03",0,-3.27218134736282
"2019-10-04",0,-2.7876371505258
"2019-10-07",0,-2.95772412057171
"2019-10-08",0,-3.80024613593958
"2019-10-09",0,-3.1554962677633
"2019-10-10",0,-2.84400148161011
"2019-10-11",0,-2.82817581188658
"2019-10-15",0,-2.74906695300994
"2019-10-16",0,-2.69665903935651
"2019-10-17",0,-2.81829451317989
"2019-10-18",0,-3.08627845246389
"2019-10-21",0,-2.8004906347409
"2019-10-22",0,-2.98046864836404
"2019-10-23",0,-3.3908543805483
"2019-10-24",0,-3.15747447647875
"2019-10-25",0,-2.93794203341731
"2019-10-28",0,-2.95277372634786
"2019-10-29",0,-2.78664317373282
"2019-10-30",0,-2.18837633793417
"2019-10-31",0,-2.46427311207995
"2019-11-01",0,-1.80964194519698
"2019-11-04",0,-1.35376715742809
"2019-11-05",0,-1.27959894790479
"2019-11-06",0,-0.958213118174389
"2019-11-07",0,-0.557718429567333
"2019-11-08",0,-0.0702117920924006
"2019-11-11",0,-0.0207663190768814
"2019-11-12",0,0
"2019-11-13",0,0
"2019-11-14",0,0
"2019-11-15",0,0
"2019-11-18",0,0
"2019-11-19",0,0
"2019-11-20",0,0
"2019-11-21",0,0
"2019-11-22",0,0
