"","2017-07-02_to_2023-01-13_Index_7QRank","2017-07-02_to_2023-01-13_TSX60_Index"
"2017-07-04",0,0
"2017-07-05",0,0
"2017-07-06",0,0
"2017-07-07",0,0
"2017-07-10",0,0
"2017-07-11",0,0
"2017-07-12",0,0
"2017-07-13",0,0
"2017-07-14",0,0
"2017-07-17",0,0
"2017-07-18",0,0
"2017-07-19",0,0
"2017-07-20",0,0
"2017-07-21",0,-0.548377031242875
"2017-07-24",0,-0.973532261465382
"2017-07-25",0,-0.557249870415055
"2017-07-26",0,-0.935788112648306
"2017-07-27",0,-0.745970614500435
"2017-07-28",0,-1.26659285149535
"2017-07-31",0,-1.07122241836444
"2017-08-01",0,-0.704896680826972
"2017-08-02",0,-0.105456361341527
"2017-08-03",0,-0.485101238304497
"2017-08-04",0,-0.0233084939946226
"2017-08-08",0,-0.00443641958609575
"2017-08-09",0,-0.280848085334184
"2017-08-10",0,-1.25771013165594
"2017-08-11",0,-1.60516379478487
"2017-08-14",0,-0.873628835106877
"2017-08-15",0,-1.05790327893894
"2017-08-16",0,-1.30322048491549
"2017-08-17",0,-1.61959944960731
"2017-08-18",0,-2.19239160957452
"2017-08-21",0,-2.20016769468423
"2017-08-22",0,-2.00923368113941
"2017-08-23",0,-1.4941544984603
"2017-08-24",0,-1.45308056478685
"2017-08-25",0,-1.60961009503819
"2017-08-28",0,-1.71617309110944
"2017-08-29",0,-1.56741964596778
"2017-08-30",0,-1.31654950500821
"2017-08-31",0,-0.919139188366425
"2017-09-01",0,-1.06566948338142
"2017-09-05",0,-1.8615967513947
"2017-09-06",0,-2.01256346599579
"2017-09-07",0,-2.29674133618634
"2017-09-08",0,-2.3899851928321
"2017-09-11",0,-1.95151082318408
"2017-09-12",0,-1.28435829117417
"2017-09-13",0,-1.43421837104553
"2017-09-14",0,-1.16002985542411
"2017-09-15",0,-1.09675406248574
"2017-09-18",0,-0.617195878497045
"2017-09-19",0,-0.205359787700032
"2017-09-20",0,0
"2017-09-21",0,0
"2017-09-22",0,0
"2017-09-25",0,0
"2017-09-26",0,0
"2017-09-27",0,0
"2017-10-02",0,0
"2017-10-03",0,0
"2017-10-04",0,0
"2017-10-05",0,0
"2017-10-06",0,0
"2017-10-10",0,0
"2017-10-11",0,0
"2017-10-12",0,0
"2017-10-13",0,0
"2017-10-16",0,0
"2017-10-17",0,0
"2017-10-18",0,0
"2017-10-19",0,0
"2017-10-20",0,0
"2017-10-23",0,0
"2017-10-24",0,0
"2017-10-25",0,0
"2017-10-26",0,0
"2017-10-27",0,0
"2017-10-30",0,0
"2017-10-31",0,0
"2017-11-01",0,0
"2017-11-02",0,0
"2017-11-03",0,0
"2017-11-06",0,0
"2017-11-07",0,0
"2017-11-08",0,0
"2017-11-09",0,0
"2017-11-10",0,0
"2017-11-13",0,0
"2017-11-14",0,0
"2017-11-15",0,0
"2017-11-16",0,0
"2017-11-17",0,0
"2017-11-20",0,0
"2017-11-21",0,0
"2017-11-22",0,0
"2017-11-23",0,0
"2017-11-24",0,0
"2017-11-27",0,0
"2017-11-28",0,0
"2017-11-29",0,0
"2017-11-30",0,0
"2017-12-01",0,0
"2017-12-04",0,0
"2017-12-05",0,0
"2017-12-06",0,0
"2017-12-07",0,0
"2017-12-08",0,0
"2017-12-11",0,0
"2017-12-12",0,0
"2017-12-13",0,0
"2017-12-14",0,0
"2017-12-15",0,0
"2017-12-18",0,0
"2017-12-19",0,0
"2017-12-20",0,0
"2017-12-21",0,0
"2017-12-22",0,0
"2017-12-27",0,0
"2017-12-28",0,0
"2017-12-29",0,0
"2018-01-02",0,0
"2018-01-03",0,0
"2018-01-04",0,0
"2018-01-05",0,-0.378713515959794
"2018-01-08",0,-0.634273883794989
"2018-01-09",0,-0.569614141756103
"2018-01-10",0,-1.09201698839259
"2018-01-11",0,-0.788222170435138
"2018-01-12",0,-0.715349782437957
"2018-01-15",0,-0.44953045863928
"2018-01-16",0,-0.833378020237086
"2018-01-17",0,-0.688665534557842
"2018-01-18",0,-0.847747866836002
"2018-01-19",0,-0.486482797795429
"2018-01-22",0,-0.585007143357619
"2018-01-23",0,-0.626061237836661
"2018-01-24",0,-1.18336097831158
"2018-01-25",0,-1.6729223764273
"2018-01-26",0,-1.49536844222733
"2018-01-29",0,-2.28770150329789
"2018-01-30",0,-2.97739932817085
"2018-01-31",0,-3.07182191841014
"2018-02-01",0,-3.60653916632782
"2018-02-02",0,-5.08035740631303
"2018-02-05",0,-6.94213409853146
"2018-02-06",0,-6.73480818081852
"2018-02-07",0,-6.92468565161225
"2018-02-08",0,-8.64277301315401
"2018-02-09",0,-8.73821875839592
"2018-02-12",0,-7.55998269040983
"2018-02-13",0,-7.66671968193033
"2018-02-14",0,-7.10326274081483
"2018-02-15",0,-6.61781223333452
"2018-02-16",0,-6.29349036813757
"2018-02-20",0,-6.41356491594187
"2018-02-21",0,-5.72182078106374
"2018-02-22",0,-5.78955912342292
"2018-02-23",0,-4.91819647371455
"2018-02-26",0,-4.45018527784093
"2018-02-27",0,-4.64416450395755
"2018-02-28",0,-6.20316953322115
"2018-03-01",0,-6.50490890586087
"2018-03-02",0,-6.63730699025892
"2018-03-05",0,-5.6007139429443
"2018-03-06",0,-5.64176803742335
"2018-03-07",0,-6.01945839838056
"2018-03-08",0,-5.66741999498837
"2018-03-09",0,-5.40878102683288
"2018-03-12",0,-5.22096813666939
"2018-03-13",0,-4.89459082615472
"2018-03-14",0,-4.80222368123313
"2018-03-15",0,-4.65340030491845
"2018-03-16",0,-4.40913118336189
"2018-03-19",0,-5.27228118711193
"2018-03-20",0,-5.22096813666939
"2018-03-21",0,-4.93154316531088
"2018-03-22",0,-6.71017937825611
"2018-03-23",0,-7.90175300252599
"2018-03-26",0,-7.31161181353036
"2018-03-27",0,-7.70675062140679
"2018-03-28",0,-7.92022460444782
"2018-03-29",0,-6.7071007779358
"2018-04-02",0,-7.72625451364372
"2018-04-03",0,-7.92741409540354
"2018-04-04",0,-8.00028648340072
"2018-04-05",0,-6.82718446105265
"2018-04-06",0,-7.7878356553623
"2018-04-09",0,-7.59180098392797
"2018-04-10",0,-7.53843248816771
"2018-04-11",0,-7.67390917288606
"2018-04-12",0,-7.60617083052688
"2018-04-13",0,-7.6307996330893
"2018-04-16",0,-7.43785269728781
"2018-04-17",0,-7.19974077637184
"2018-04-18",0,-6.12413994458336
"2018-04-19",0,-6.65783403749843
"2018-04-20",0,-6.43101336286109
"2018-04-23",0,-5.93735020942247
"2018-04-24",0,-6.44846180978033
"2018-04-25",0,-6.08308585010432
"2018-04-26",0,-5.21993584635426
"2018-04-27",0,-4.97464356979511
"2018-04-30",0,-5.43034036438752
"2018-05-01",0,-5.31231212658839
"2018-05-02",0,-5.29383138935405
"2018-05-03",0,-5.32257108255189
"2018-05-04",0,-4.57848160691609
