"","1 Years","2 Years","3 Years","5 Years","10 Years","2012-08-2023-01"
"Annualized Returns",,,,,,
"2012-08-02_to_2023-01-13_Index_7QRank","0.356","9.133","5.685","6.272","15.165","15.648"
"2012-08-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.335","6.081"
"Volatility",,,,,,
"2012-08-02_to_2023-01-13_Index_7QRank","18.77","14.94","20.13","17.5","16.36","16.04"
"2012-08-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","11.72","11.53"
"Tracking Error",,,,,,
"2012-08-02_to_2023-01-13_Index_7QRank","5.95","7.6","11.14","9.99","11.87","11.64"
"2012-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Information Ratio",,,,,,
"2012-08-02_to_2023-01-13_Index_7QRank","1.15","0.33","0","0.16","0.83","0.82"
"2012-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Alpha Stat",,,,,,
"2012-08-02_to_2023-01-13_Index_7QRank","0.83","0.19","0.01","0.2","0.83","0.81"
"2012-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Beta Stat",,,,,,
"2012-08-02_to_2023-01-13_Index_7QRank","1.07","0.96","0.97","0.97","0.96","0.96"
"2012-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"R-Squared",,,,,,
"2012-08-02_to_2023-01-13_Index_7QRank","89.3","73.09","68.51","66.91","46.92","46.96"
"2012-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Max Drawdown",,,,,,
"2012-08-02_to_2023-01-13_Index_7QRank","-18.4274","-18.4274","-32.9139","-32.9139","-32.9139","-32.9139"
"2012-08-02_to_2023-01-13_TSX60_Index","-17.7765","-17.7765","-35.7265","-35.7265","-35.7265","-35.7265"
