"","1 Years","2 Years","3 Years","5 Years","2014-10-2023-01"
"Annualized Returns",,,,,
"2014-10-02_to_2023-01-13_Index_7QRank","6.552","15.91","13.39","11.928","14.609"
"2014-10-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","4.361"
"Volatility",,,,,
"2014-10-02_to_2023-01-13_Index_7QRank","22.05","16.49","20.45","17.61","15.28"
"2014-10-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","12.37"
"Tracking Error",,,,,
"2014-10-02_to_2023-01-13_Index_7QRank","10.98","8.96","8.62","7.89","8.23"
"2014-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2014-10-02_to_2023-01-13_Index_7QRank","1.19","1.04","0.89","0.92","1.25"
"2014-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2014-10-02_to_2023-01-13_Index_7QRank","1.5","0.8","0.66","0.62","0.85"
"2014-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2014-10-02_to_2023-01-13_Index_7QRank","1.16","1.03","1.08","1.06","1.04"
"2014-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2014-10-02_to_2023-01-13_Index_7QRank","74.08","69.15","82.12","79.86","70.82"
"2014-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2014-10-02_to_2023-01-13_Index_7QRank","-20.2085","-20.2085","-35.4839","-35.4839","-35.4839"
"2014-10-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
