"Inception";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year1";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year2";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year3";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year4";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year5";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year6";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year7";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin"
"2015-05-02";"SU.TO";"39.090000000000";"0.015988743924";"Core";"2016-05-02";"SU.TO";"35.580002000000";"0.042186135205";"Core";"2017-05-01";"SU.TO";"42.889999000000";"0.036771825058";"Core";"2018-05-01";"SU.TO";"48.840000000000";"0.225959733397";"Growth";"2019-05-01";"SU.TO";"43.750000000000";"0.038882743412";"Core";"2020-05-01";"SU.TO";"24.139999000000";"0.056312397741";"Core";"2021-05-03";"SU.TO";"26.930000000000";"0.491287959423";"Value";"2022-05-02";"SU.TO";"46.419998000000";"0.491287959423";"Value"
"2015-05-02";"OTEX.TO";"30.600000000000";"0.108932461874";"Growth";"2016-05-02";"OTEX.TO";"34.939999000000";"0.042958867142";"Core";"2017-05-01";"OTEX.TO";"47.580002000000";"0.430913517393";"Growth";"2018-05-01";"OTEX.TO";"46.029999000000";"0.033299157611";"Core";"2019-05-01";"OTEX.TO";"51.669998000000";"0.032922780920";"Core";"2020-05-01";"OTEX.TO";"53.330002000000";"0.025489990140";"Core";"2021-05-03";"OTEX.TO";"58.259998000000";"0.035685899960";"Core";"2022-05-02";"OTEX.TO";"51.669998000000";"0.041801703908";"Core"
"2015-05-02";"GIL.TO";"38.799999000000";"0.085910655135";"Growth";"2016-05-02";"GIL.TO";"39.220001000000";"0.038270849992";"Core";"2017-05-01";"GIL.TO";"38.459999000000";"0.041007373400";"Core";"2018-05-01";"GIL.TO";"37.709999000000";"0.040645988655";"Core";"2019-05-01";"GIL.TO";"48.849998000000";"0.034823338668";"Core";"2020-05-01";"GIL.TO";"19.000000000000";"0.071546380271";"Core";"2021-05-03";"GIL.TO";"44.060001000000";"0.300281081411";"Value";"2022-05-02";"GIL.TO";"43.709999000000";"0.300281081411";"Value"
"2015-05-02";"TRP.TO";"56.570000000000";"0.011048258794";"Core";"2016-05-02";"TRP.TO";"52.250000000000";"0.028726943062";"Core";"2017-05-01";"TRP.TO";"63.389999000000";"0.024880005755";"Core";"2018-05-01";"TRP.TO";"55.000000000000";"0.027868367119";"Core";"2019-05-01";"TRP.TO";"63.799999000000";"0.026663323683";"Core";"2020-05-01";"TRP.TO";"63.000000000000";"0.021577479764";"Core";"2021-05-03";"TRP.TO";"61.180000000000";"0.216253428363";"Value";"2022-05-02";"TRP.TO";"68.279999000000";"0.216253428363";"Value"
"2015-05-02";"TD.TO";"56.110001000000";"0.011138834234";"Core";"2016-05-02";"TD.TO";"55.709999000000";"0.026942789480";"Core";"2017-05-01";"TD.TO";"64.269997000000";"0.024539343606";"Core";"2018-05-01";"TD.TO";"72.300003000000";"0.021200001770";"Core";"2019-05-01";"TD.TO";"76.209999000000";"0.022321480732";"Core";"2020-05-01";"TD.TO";"57.040001000000";"0.023832068747";"Core";"2021-05-03";"TD.TO";"84.150002000000";"0.024706600248";"Core";"2022-05-02";"TD.TO";"92.669998000000";"0.186458962248";"Growth"
"2015-05-02";"CCO.TO";"20.809999000000";"0.174741173047";"Value";"2016-05-02";"CCO.TO";"15.470000000000";"0.174741173047";"Value";"2017-05-01";"CCO.TO";"13.220000000000";"0.174741173047";"Value";"2018-05-01";"CCO.TO";"14.340000000000";"0.106887042646";"Core";"2019-05-01";"CCO.TO";"14.640000000000";"0.116196722971";"Core";"2020-05-01";"CCO.TO";"14.420000000000";"0.094270542660";"Core";"2021-05-03";"CCO.TO";"22.750000000000";"0.639710910856";"Growth";"2022-05-02";"CCO.TO";"32.770000000000";"0.527285677710";"Growth"
"2015-05-02";"WPM.TO";"24.500000000000";"0.148423005566";"Value";"2016-05-02";"WPM.TO";"25.360001000000";"0.148423005566";"Value";"2017-05-01";"WPM.TO";"26.780001000000";"0.148423005566";"Value";"2018-05-01";"WPM.TO";"26.870001000000";"0.410713545529";"Value";"2019-05-01";"WPM.TO";"28.520000000000";"0.410713545529";"Value";"2020-05-01";"WPM.TO";"57.840000000000";"0.410713545529";"Value";"2021-05-03";"WPM.TO";"52.939999000000";"0.274904108366";"Growth";"2022-05-02";"WPM.TO";"56.919998000000";"0.037946135510";"Core"
"2015-05-02";"SLF.TO";"39.700001000000";"0.015743072651";"Core";"2016-05-02";"SLF.TO";"43.020000000000";"0.034890348093";"Core";"2017-05-01";"SLF.TO";"48.509998000000";"0.032511721397";"Core";"2018-05-01";"SLF.TO";"53.209999000000";"0.028805867701";"Core";"2019-05-01";"SLF.TO";"55.580002000000";"0.030606692391";"Core";"2020-05-01";"SLF.TO";"46.599998000000";"0.029171272178";"Core";"2021-05-03";"SLF.TO";"66.360001000000";"0.031330024547";"Core";"2022-05-02";"SLF.TO";"63.599998000000";"0.033960597881";"Core"
"2015-05-02";"ABX.TO";"15.920000000000";"0.228414801279";"Value";"2016-05-02";"ABX.TO";"23.959999000000";"0.228414801279";"Value";"2017-05-01";"ABX.TO";"22.379999000000";"0.228414801279";"Value";"2018-05-01";"ABX.TO";"17.290001000000";"0.638280667485";"Value";"2019-05-01";"ABX.TO";"16.910000000000";"0.638280667485";"Value";"2020-05-01";"ABX.TO";"37.869999000000";"0.638280667485";"Value";"2021-05-03";"ABX.TO";"27.299999000000";"0.076156063606";"Core";"2022-05-02";"ABX.TO";"28.520000000000";"0.075732607199";"Core"
"2015-05-02";"K.TO";"3.000000000000";"1.212121212121";"Value";"2016-05-02";"K.TO";"7.070000000000";"1.212121212121";"Value";"2017-05-01";"K.TO";"4.640000000000";"1.212121212121";"Value";"2018-05-01";"K.TO";"5.050000000000";"2.185321461206";"Value";"2019-05-01";"K.TO";"4.120000000000";"2.185321461206";"Value";"2020-05-01";"K.TO";"9.630000000000";"2.185321461206";"Value";"2021-05-03";"K.TO";"9.050000000000";"1.608113063202";"Growth";"2022-05-02";"K.TO";"6.390000000000";"0.338011573916";"Core"
"2015-05-02";"TRI.TO";"55.204319000000";"0.011321577937";"Core";"2016-05-02";"TRI.TO";"56.966625000000";"0.026348458856";"Core";"2017-05-01";"TRI.TO";"66.571205000000";"0.023691076945";"Core";"2018-05-01";"TRI.TO";"56.878510000000";"0.026947966667";"Core";"2019-05-01";"TRI.TO";"82.919998000000";"0.020515196157";"Core";"2020-05-01";"TRI.TO";"97.239998000000";"0.229266274692";"Growth";"2021-05-03";"TRI.TO";"114.660004000000";"0.018132394800";"Core";"2022-05-02";"TRI.TO";"128.179993000000";"0.016850476481";"Core"
"2015-05-02";"BNS.TO";"67.129997000000";"0.009310293877";"Core";"2016-05-02";"BNS.TO";"65.169998000000";"0.023031806369";"Core";"2017-05-01";"BNS.TO";"75.739998000000";"0.020823126242";"Core";"2018-05-01";"BNS.TO";"78.860001000000";"0.019436471876";"Core";"2019-05-01";"BNS.TO";"73.669998000000";"0.023091082808";"Core";"2020-05-01";"BNS.TO";"54.250000000000";"0.025057718436";"Core";"2021-05-03";"BNS.TO";"78.440002000000";"0.026505104631";"Core";"2022-05-02";"BNS.TO";"81.660004000000";"0.026449838985";"Core"
"2015-05-02";"RY.TO";"80.440002000000";"0.007769766092";"Core";"2016-05-02";"RY.TO";"77.709999000000";"0.019315182014";"Core";"2017-05-01";"RY.TO";"93.279999000000";"0.016907628182";"Core";"2018-05-01";"RY.TO";"97.669998000000";"0.015693255072";"Core";"2019-05-01";"RY.TO";"106.449997000000";"0.015980460989";"Core";"2020-05-01";"RY.TO";"84.480003000000";"0.016091159764";"Core";"2021-05-03";"RY.TO";"118.089996000000";"0.017605728942";"Core";"2022-05-02";"RY.TO";"129.699997000000";"0.016652999285";"Core"
"2015-05-02";"CAE.TO";"14.930000000000";"0.041862022773";"Core";"2016-05-02";"CAE.TO";"14.710000000000";"0.102038257986";"Core";"2017-05-01";"CAE.TO";"20.930000000000";"0.075353250834";"Core";"2018-05-01";"CAE.TO";"24.200001000000";"0.456027806738";"Growth";"2019-05-01";"CAE.TO";"31.230000000000";"0.447870216663";"Growth";"2020-05-01";"CAE.TO";"22.629999000000";"0.060069875617";"Core";"2021-05-03";"CAE.TO";"38.240002000000";"0.054368733042";"Core";"2022-05-02";"CAE.TO";"32.000000000000";"0.539973489330";"Growth"
