"","1 Years","2 Years","2020-06-2023-01"
"Annualized Returns",,,
"2020-06-02_to_2023-01-13_Index_7QRank","-0.287","11.361","18.342"
"2020-06-02_to_2023-01-13_TSX60_Index","-6.482","6.606","10.727"
"Volatility",,,
"2020-06-02_to_2023-01-13_Index_7QRank","22.31","16.94","16.57"
"2020-06-02_to_2023-01-13_TSX60_Index","16.64","13.46","13.9"
"Tracking Error",,,
"2020-06-02_to_2023-01-13_Index_7QRank","8.78","7.47","6.91"
"2020-06-02_to_2023-01-13_TSX60_Index","-","-","-"
"Information Ratio",,,
"2020-06-02_to_2023-01-13_Index_7QRank","0.71","0.64","1.1"
"2020-06-02_to_2023-01-13_TSX60_Index","-","-","-"
"Alpha Stat",,,
"2020-06-02_to_2023-01-13_Index_7QRank","0.96","0.31","0.5"
"2020-06-02_to_2023-01-13_TSX60_Index","-","-","-"
"Beta Stat",,,
"2020-06-02_to_2023-01-13_Index_7QRank","1.26","1.14","1.09"
"2020-06-02_to_2023-01-13_TSX60_Index","-","-","-"
"R-Squared",,,
"2020-06-02_to_2023-01-13_Index_7QRank","86.97","80.86","82.53"
"2020-06-02_to_2023-01-13_TSX60_Index","-","-","-"
"Max Drawdown",,,
"2020-06-02_to_2023-01-13_Index_7QRank","-21.8959","-21.8959","-21.8959"
"2020-06-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-17.7766"
