"","1 Years","2 Years","3 Years","5 Years","10 Years","2012-11-2023-01"
"Annualized Returns",,,,,,
"2012-11-02_to_2023-01-13_Index_7QRank","-0.493","5.669","5.053","6.243","14.22","14.27"
"2012-11-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.335","5.441"
"Volatility",,,,,,
"2012-11-02_to_2023-01-13_Index_7QRank","18.5","15.26","20.21","17.43","17.11","16.98"
"2012-11-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","11.72","11.63"
"Tracking Error",,,,,,
"2012-11-02_to_2023-01-13_Index_7QRank","7.2","8.16","10.93","9.59","12.76","12.66"
"2012-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Information Ratio",,,,,,
"2012-11-02_to_2023-01-13_Index_7QRank","0.83","-0.11","-0.06","0.16","0.7","0.7"
"2012-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Alpha Stat",,,,,,
"2012-11-02_to_2023-01-13_Index_7QRank","0.62","-0.05","-0.05","0.18","0.76","0.75"
"2012-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Beta Stat",,,,,,
"2012-11-02_to_2023-01-13_Index_7QRank","1.02","0.96","0.98","0.98","0.97","0.97"
"2012-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"R-Squared",,,,,,
"2012-11-02_to_2023-01-13_Index_7QRank","83.21","70.16","69.88","69.21","43.95","43.97"
"2012-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Max Drawdown",,,,,,
"2012-11-02_to_2023-01-13_Index_7QRank","-20.5823","-20.5823","-33.0059","-33.0059","-33.0059","-33.0059"
"2012-11-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265","-35.7265"
