"","1 Years","2 Years","3 Years","5 Years","2013-11-2023-01"
"Annualized Returns",,,,,
"2013-11-02_to_2023-01-13_Index_7QRank","-0.517","10.303","6.489","6.601","29.615"
"2013-11-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.129"
"Volatility",,,,,
"2013-11-02_to_2023-01-13_Index_7QRank","20.06","15.87","20.53","17.94","73.91"
"2013-11-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","11.96"
"Tracking Error",,,,,
"2013-11-02_to_2023-01-13_Index_7QRank","7.42","6.38","7.01","6.47","72.15"
"2013-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2013-11-02_to_2023-01-13_Index_7QRank","0.8","0.58","0.11","0.3","0.34"
"2013-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2013-11-02_to_2023-01-13_Index_7QRank","0.7","0.26","0.06","0.12","2.66"
"2013-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2013-11-02_to_2023-01-13_Index_7QRank","1.13","1.08","1.12","1.13","1.4"
"2013-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2013-11-02_to_2023-01-13_Index_7QRank","86.01","83.61","89.09","87.99","4.25"
"2013-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2013-11-02_to_2023-01-13_Index_7QRank","-21.1487","-21.1487","-38.4759","-38.4759","-43.5386"
"2013-11-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
