"Inception";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year1";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year2";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year3";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year4";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin"
"2018-08-02";"TD.TO";"77.150002000000";"0.007200979147";"Core";"2019-08-01";"TD.TO";"76.019997000000";"0.008149545605";"Core";"2020-08-04";"TD.TO";"59.570000000000";"0.009598336851";"Core";"2021-08-03";"TD.TO";"83.620003000000";"0.010061611631";"Core";"2022-08-02";"TD.TO";"82.839996000000";"0.008990092639";"Core"
"2018-08-02";"CCO.TO";"14.450000000000";"0.038446751250";"Core";"2019-08-01";"CCO.TO";"11.890000000000";"0.052104998521";"Core";"2020-08-04";"CCO.TO";"13.920000000000";"0.041075641251";"Core";"2021-08-03";"CCO.TO";"21.719999000000";"0.232417688818";"Growth";"2022-08-02";"CCO.TO";"32.360001000000";"0.174907850299";"Growth"
"2018-08-02";"WPM.TO";"27.230000000000";"0.133542549995";"Value";"2019-08-01";"WPM.TO";"35.470001000000";"0.133542549995";"Value";"2020-08-04";"WPM.TO";"74.830002000000";"0.133542549995";"Value";"2021-08-03";"WPM.TO";"58.070000000000";"0.086931495931";"Growth";"2022-08-02";"WPM.TO";"43.270000000000";"0.017211445302";"Core"
"2018-08-02";"SLF.TO";"52.619999000000";"0.010557878489";"Core";"2019-08-01";"SLF.TO";"53.400002000000";"0.011601655603";"Core";"2020-08-04";"SLF.TO";"51.869999000000";"0.011023191387";"Core";"2021-08-03";"SLF.TO";"64.870003000000";"0.012969815876";"Core";"2022-08-02";"SLF.TO";"58.520000000000";"0.012726234420";"Core"
"2018-08-02";"ABX.TO";"14.240000000000";"0.255362614913";"Value";"2019-08-01";"ABX.TO";"22.430000000000";"0.255362614913";"Value";"2020-08-04";"ABX.TO";"39.709999000000";"0.255362614913";"Value";"2021-08-03";"ABX.TO";"27.230000000000";"0.030897979977";"Core";"2022-08-02";"ABX.TO";"19.969999000000";"0.037292903131";"Core"
"2018-08-02";"K.TO";"4.440000000000";"0.819000819001";"Value";"2019-08-01";"K.TO";"5.880000000000";"0.819000819001";"Value";"2020-08-04";"K.TO";"12.880000000000";"0.819000819001";"Value";"2021-08-03";"K.TO";"8.160000000000";"0.103106862106";"Core";"2022-08-02";"K.TO";"4.410000000000";"0.168875110711";"Core"
"2018-08-02";"TRI.TO";"58.982265000000";"0.009419027153";"Core";"2019-08-01";"TRI.TO";"90.190002000000";"0.046210629058";"Growth";"2020-08-04";"TRI.TO";"94.709999000000";"0.084519280451";"Growth";"2021-08-03";"TRI.TO";"131.990005000000";"0.038246168478";"Growth";"2022-08-02";"TRI.TO";"142.910004000000";"0.005211246361";"Core"
"2018-08-02";"BNS.TO";"76.989998000000";"0.007215944538";"Core";"2019-08-01";"BNS.TO";"70.070000000000";"0.008841564613";"Core";"2020-08-04";"BNS.TO";"55.230000000000";"0.010352578784";"Core";"2021-08-03";"BNS.TO";"78.180000000000";"0.010761729276";"Core";"2022-08-02";"BNS.TO";"77.400002000000";"0.009621953734";"Core"
"2018-08-02";"RY.TO";"101.470001000000";"0.005475071943";"Core";"2019-08-01";"RY.TO";"102.830002000000";"0.006024782849";"Core";"2020-08-04";"RY.TO";"92.489998000000";"0.006181997390";"Core";"2021-08-03";"RY.TO";"126.279999000000";"0.006662591079";"Core";"2022-08-02";"RY.TO";"124.230003000000";"0.005994841989";"Core"
"2018-08-02";"CAE.TO";"27.400000000000";"0.121654501217";"Growth";"2019-08-01";"CAE.TO";"36.070000000000";"0.115545792270";"Growth";"2020-08-04";"CAE.TO";"19.209999000000";"0.029764339197";"Core";"2021-08-03";"CAE.TO";"38.099998000000";"0.022082730681";"Core";"2022-08-02";"CAE.TO";"33.720001000000";"0.022085979127";"Core"
"2018-08-02";"T.TO";"23.754999000000";"0.023386890294";"Core";"2019-08-01";"T.TO";"23.879999000000";"0.025943402779";"Core";"2020-08-04";"T.TO";"23.940001000000";"0.023883579880";"Core";"2021-08-03";"T.TO";"28.139999000000";"0.029898792633";"Core";"2022-08-02";"T.TO";"29.129999000000";"0.025566057803";"Core"
"2018-08-02";"CNR.TO";"115.660004000000";"0.004803350651";"Core";"2019-08-01";"CNR.TO";"123.570000000000";"0.005013582847";"Core";"2020-08-04";"CNR.TO";"129.820007000000";"0.004404351374";"Core";"2021-08-03";"CNR.TO";"135.160004000000";"0.006224859203";"Core";"2022-08-02";"CNR.TO";"160.850006000000";"0.004630023068";"Core"
