"","1 Years","2 Years","3 Years","5 Years","2017-08-2023-01"
"Annualized Returns",,,,,
"2017-08-02_to_2023-01-13_Index_7QRank","2.749","16.139","14.97","12.638","14.551"
"2017-08-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.68"
"Volatility",,,,,
"2017-08-02_to_2023-01-13_Index_7QRank","21.11","15.85","20.63","18.23","17.59"
"2017-08-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","14.38"
"Tracking Error",,,,,
"2017-08-02_to_2023-01-13_Index_7QRank","8.96","6.92","6.69","6.4","6.41"
"2017-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2017-08-02_to_2023-01-13_Index_7QRank","1.03","1.38","1.39","1.24","1.38"
"2017-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2017-08-02_to_2023-01-13_Index_7QRank","1.13","0.72","0.72","0.62","0.63"
"2017-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2017-08-02_to_2023-01-13_Index_7QRank","1.16","1.06","1.14","1.16","1.15"
"2017-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2017-08-02_to_2023-01-13_Index_7QRank","81.75","80.33","90.53","89.17","88"
"2017-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2017-08-02_to_2023-01-13_Index_7QRank","-19.8666","-19.8666","-36.6344","-36.6344","-36.6344"
"2017-08-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
