"","1 Years","2 Years","3 Years","5 Years","2015-12-2023-01"
"Annualized Returns",,,,,
"2015-12-02_to_2023-01-13_Index_7QRank","-1.398","8.267","9.594","10.736","16.509"
"2015-12-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","6.192"
"Volatility",,,,,
"2015-12-02_to_2023-01-13_Index_7QRank","17.89","14.02","20.05","17.33","16.12"
"2015-12-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","12.82"
"Tracking Error",,,,,
"2015-12-02_to_2023-01-13_Index_7QRank","5.27","5.85","8.91","8.6","9.05"
"2015-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2015-12-02_to_2023-01-13_Index_7QRank","0.96","0.28","0.44","0.7","1.14"
"2015-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2015-12-02_to_2023-01-13_Index_7QRank","0.58","0.16","0.27","0.49","0.74"
"2015-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2015-12-02_to_2023-01-13_Index_7QRank","1.03","0.95","1.04","1.01","1.04"
"2015-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2015-12-02_to_2023-01-13_Index_7QRank","90.43","82.03","79.8","74.96","68.25"
"2015-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2015-12-02_to_2023-01-13_Index_7QRank","-19.0404","-19.0404","-34.1267","-34.1267","-34.1267"
"2015-12-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
