"","1 Years","2 Years","2020-02-2023-01"
"Annualized Returns",,,
"2020-02-02_to_2023-01-13_Index_7QRank","-0.501","11.144","11.759"
"2020-02-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.596"
"Volatility",,,
"2020-02-02_to_2023-01-13_Index_7QRank","21.19","16.48","22.75"
"2020-02-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.12"
"Tracking Error",,,
"2020-02-02_to_2023-01-13_Index_7QRank","8.59","6.93","8.53"
"2020-02-02_to_2023-01-13_TSX60_Index","-","-","-"
"Information Ratio",,,
"2020-02-02_to_2023-01-13_Index_7QRank","0.7","0.65","0.72"
"2020-02-02_to_2023-01-13_TSX60_Index","-","-","-"
"Alpha Stat",,,
"2020-02-02_to_2023-01-13_Index_7QRank","0.8","0.33","0.37"
"2020-02-02_to_2023-01-13_TSX60_Index","-","-","-"
"Beta Stat",,,
"2020-02-02_to_2023-01-13_Index_7QRank","1.18","1.12","1.26"
"2020-02-02_to_2023-01-13_TSX60_Index","-","-","-"
"R-Squared",,,
"2020-02-02_to_2023-01-13_Index_7QRank","83.93","82.45","89.43"
"2020-02-02_to_2023-01-13_TSX60_Index","-","-","-"
"Max Drawdown",,,
"2020-02-02_to_2023-01-13_Index_7QRank","-21.8236","-21.8236","-40.0164"
"2020-02-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265"
