"","1 Years","2 Years","3 Years","5 Years","2014-09-2023-01"
"Annualized Returns",,,,,
"2014-09-02_to_2023-01-13_Index_7QRank","1.055","12.007","10.572","10.585","13.519"
"2014-09-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","3.681"
"Volatility",,,,,
"2014-09-02_to_2023-01-13_Index_7QRank","20.48","15.36","19.94","17.47","14.91"
"2014-09-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","12.33"
"Tracking Error",,,,,
"2014-09-02_to_2023-01-13_Index_7QRank","8.99","7.1","7.23","7.51","7.94"
"2014-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2014-09-02_to_2023-01-13_Index_7QRank","0.84","0.76","0.68","0.79","1.24"
"2014-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2014-09-02_to_2023-01-13_Index_7QRank","1","0.4","0.41","0.52","0.8"
"2014-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2014-09-02_to_2023-01-13_Index_7QRank","1.11","1.01","1.08","1.06","1.02"
"2014-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2014-09-02_to_2023-01-13_Index_7QRank","79.49","77.65","86.92","81.49","71.41"
"2014-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2014-09-02_to_2023-01-13_Index_7QRank","-20.9079","-20.9079","-34.158","-34.158","-34.158"
"2014-09-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
