"","1 Years","2 Years","3 Years","4 Years","2018-08-2023-01"
"Annualized Returns",,,,,
"2018-08-02_to_2023-01-13_Index_7QRank","-0.832","8.454","8.501","12.469","10.506"
"2018-08-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","7.966","5.056"
"Volatility",,,,,
"2018-08-02_to_2023-01-13_Index_7QRank","18.42","14.23","19.25","17.01","17.13"
"2018-08-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","15.25","15.64"
"Tracking Error",,,,,
"2018-08-02_to_2023-01-13_Index_7QRank","5.14","6.04","9.77","9.08","8.78"
"2018-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2018-08-02_to_2023-01-13_Index_7QRank","1.1","0.31","0.29","0.5","0.62"
"2018-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2018-08-02_to_2023-01-13_Index_7QRank","0.75","0.15","0.22","0.38","0.48"
"2018-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2018-08-02_to_2023-01-13_Index_7QRank","1.07","0.96","0.96","0.94","0.94"
"2018-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2018-08-02_to_2023-01-13_Index_7QRank","91.75","81.26","73.6","71.14","73.48"
"2018-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2018-08-02_to_2023-01-13_Index_7QRank","-17.5924","-17.5924","-32.4433","-32.4433","-32.4433"
"2018-08-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
