"","1 Years","2 Years","3 Years","5 Years","2015-10-2023-01"
"Annualized Returns",,,,,
"2015-10-02_to_2023-01-13_Index_7QRank","-3.385","3.55","6.772","11.059","16.682"
"2015-10-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","6.202"
"Volatility",,,,,
"2015-10-02_to_2023-01-13_Index_7QRank","17.12","13.73","18.53","16.31","15.37"
"2015-10-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","12.76"
"Tracking Error",,,,,
"2015-10-02_to_2023-01-13_Index_7QRank","5.38","6.55","10.31","10.43","10.54"
"2015-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2015-10-02_to_2023-01-13_Index_7QRank","0.58","-0.47","0.11","0.61","0.99"
"2015-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2015-10-02_to_2023-01-13_Index_7QRank","0.47","-0.21","0.08","0.58","0.82"
"2015-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2015-10-02_to_2023-01-13_Index_7QRank","0.98","0.9","0.9","0.86","0.88"
"2015-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2015-10-02_to_2023-01-13_Index_7QRank","89.09","77.1","69.04","60.17","53.37"
"2015-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2015-10-02_to_2023-01-13_Index_7QRank","-19.6835","-19.6835","-30.0225","-30.0225","-30.0225"
"2015-10-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
