"","1 Years","2 Years","3 Years","5 Years","2016-03-2023-01"
"Annualized Returns",,,,,
"2016-03-02_to_2023-01-13_Index_7QRank","-6.716","3.611","5.95","7.808","12.169"
"2016-03-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","7.023"
"Volatility",,,,,
"2016-03-02_to_2023-01-13_Index_7QRank","17.7","14.3","18.27","16.88","15.08"
"2016-03-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","12.94"
"Tracking Error",,,,,
"2016-03-02_to_2023-01-13_Index_7QRank","4.42","5.42","8.58","8.13","7.78"
"2016-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2016-03-02_to_2023-01-13_Index_7QRank","-0.05","-0.55","0.03","0.38","0.66"
"2016-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2016-03-02_to_2023-01-13_Index_7QRank","0.04","-0.34","-0.01","0.25","0.42"
"2016-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2016-03-02_to_2023-01-13_Index_7QRank","1.03","0.98","0.93","0.99","1"
"2016-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2016-03-02_to_2023-01-13_Index_7QRank","93.16","84.96","77.66","76.38","73.05"
"2016-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2016-03-02_to_2023-01-13_Index_7QRank","-21.5202","-21.5202","-31.0794","-31.0794","-31.0794"
"2016-03-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
