"","1 Years","2 Years","3 Years","5 Years","2014-03-2023-01"
"Annualized Returns",,,,,
"2014-03-02_to_2023-01-13_Index_7QRank","1.551","10.91","9.938","8.284","37.923"
"2014-03-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","4.626"
"Volatility",,,,,
"2014-03-02_to_2023-01-13_Index_7QRank","21.71","16.64","21.49","19.07","85.56"
"2014-03-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","12.14"
"Tracking Error",,,,,
"2014-03-02_to_2023-01-13_Index_7QRank","8.72","7.6","8.18","7.66","83.75"
"2014-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2014-03-02_to_2023-01-13_Index_7QRank","0.92","0.57","0.52","0.47","0.4"
"2014-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2014-03-02_to_2023-01-13_Index_7QRank","1","0.23","0.32","0.25","3.58"
"2014-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2014-03-02_to_2023-01-13_Index_7QRank","1.21","1.1","1.16","1.19","1.54"
"2014-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2014-03-02_to_2023-01-13_Index_7QRank","85.03","78.92","86.79","85.81","3.83"
"2014-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2014-03-02_to_2023-01-13_Index_7QRank","-21.394","-21.394","-37.4162","-37.4162","-43.8307"
"2014-03-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
