"","2022-01-2023-01"
"Annualized Returns",
"2022-01-02_to_2023-01-13_Index_7QRank","-3.217"
"2022-01-02_to_2023-01-13_TSX60_Index","-5.431"
"Volatility",
"2022-01-02_to_2023-01-13_Index_7QRank","18.05"
"2022-01-02_to_2023-01-13_TSX60_Index","16.64"
"Tracking Error",
"2022-01-02_to_2023-01-13_Index_7QRank","5.22"
"2022-01-02_to_2023-01-13_TSX60_Index","-"
"Information Ratio",
"2022-01-02_to_2023-01-13_Index_7QRank","0.42"
"2022-01-02_to_2023-01-13_TSX60_Index","-"
"Alpha Stat",
"2022-01-02_to_2023-01-13_Index_7QRank","0.31"
"2022-01-02_to_2023-01-13_TSX60_Index","-"
"Beta Stat",
"2022-01-02_to_2023-01-13_Index_7QRank","1.04"
"2022-01-02_to_2023-01-13_TSX60_Index","-"
"R-Squared",
"2022-01-02_to_2023-01-13_Index_7QRank","90.83"
"2022-01-02_to_2023-01-13_TSX60_Index","-"
"Max Drawdown",
"2022-01-02_to_2023-01-13_Index_7QRank","-20.5081"
"2022-01-02_to_2023-01-13_TSX60_Index","-17.7766"
