"","2023-01-2022-01","2021-11-2023-01"
"Annualized Returns",,
"2021-11-02_to_2023-01-13_Index_7QRank","-4.254","-2.146"
"2021-11-02_to_2023-01-13_TSX60_Index","-6.482","-3.784"
"Volatility",,
"2021-11-02_to_2023-01-13_Index_7QRank","17.84","16.6"
"2021-11-02_to_2023-01-13_TSX60_Index","16.64","15.62"
"Tracking Error",,
"2021-11-02_to_2023-01-13_Index_7QRank","6.31","5.79"
"2021-11-02_to_2023-01-13_TSX60_Index","-","-"
"Information Ratio",,
"2021-11-02_to_2023-01-13_Index_7QRank","0.35","0.28"
"2021-11-02_to_2023-01-13_TSX60_Index","-","-"
"Alpha Stat",,
"2021-11-02_to_2023-01-13_Index_7QRank","0.34","0.28"
"2021-11-02_to_2023-01-13_TSX60_Index","-","-"
"Beta Stat",,
"2021-11-02_to_2023-01-13_Index_7QRank","1","1"
"2021-11-02_to_2023-01-13_TSX60_Index","-","-"
"R-Squared",,
"2021-11-02_to_2023-01-13_Index_7QRank","86.09","86.75"
"2021-11-02_to_2023-01-13_TSX60_Index","-","-"
"Max Drawdown",,
"2021-11-02_to_2023-01-13_Index_7QRank","-20.7908","-20.7908"
"2021-11-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766"
