"","1 Years","2 Years","3 Years","5 Years","2015-07-2023-01"
"Annualized Returns",,,,,
"2015-07-02_to_2023-01-13_Index_7QRank","-5.149","2.015","4.599","8.616","12.361"
"2015-07-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","4.814"
"Volatility",,,,,
"2015-07-02_to_2023-01-13_Index_7QRank","17.19","13.31","18.84","16.62","15.4"
"2015-07-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","12.78"
"Tracking Error",,,,,
"2015-07-02_to_2023-01-13_Index_7QRank","4.6","5.46","9.63","9.11","9.27"
"2015-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2015-07-02_to_2023-01-13_Index_7QRank","0.29","-0.84","-0.11","0.43","0.81"
"2015-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2015-07-02_to_2023-01-13_Index_7QRank","0.21","-0.39","-0.11","0.35","0.57"
"2015-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2015-07-02_to_2023-01-13_Index_7QRank","1","0.91","0.94","0.94","0.96"
"2015-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2015-07-02_to_2023-01-13_Index_7QRank","92.03","83.3","73.39","69.78","63.47"
"2015-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2015-07-02_to_2023-01-13_Index_7QRank","-20.2917","-20.2917","-32.1418","-32.1418","-32.1418"
"2015-07-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
