"","1 Years","2 Years","3 Years","4 Years","2018-10-2023-01"
"Annualized Returns",,,,,
"2018-10-02_to_2023-01-13_Index_7QRank","-3.309","3.933","7.033","11.424","10.62"
"2018-10-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","7.966","5.934"
"Volatility",,,,,
"2018-10-02_to_2023-01-13_Index_7QRank","17.08","13.64","17.94","16.05","16.15"
"2018-10-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","15.25","15.6"
"Tracking Error",,,,,
"2018-10-02_to_2023-01-13_Index_7QRank","5.36","6.37","9.61","9.39","9.23"
"2018-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2018-10-02_to_2023-01-13_Index_7QRank","0.59","-0.42","0.14","0.37","0.51"
"2018-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2018-10-02_to_2023-01-13_Index_7QRank","0.48","-0.18","0.1","0.35","0.44"
"2018-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2018-10-02_to_2023-01-13_Index_7QRank","0.98","0.9","0.88","0.86","0.86"
"2018-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2018-10-02_to_2023-01-13_Index_7QRank","89.14","78.13","71.77","66.7","68.49"
"2018-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2018-10-02_to_2023-01-13_Index_7QRank","-19.6021","-19.6021","-30.2449","-30.2449","-30.2449"
"2018-10-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
