"","1 Years","2 Years","3 Years","5 Years","2015-02-2023-01"
"Annualized Returns",,,,,
"2015-02-02_to_2023-01-13_Index_7QRank","2.572","13.333","9.825","9.23","10.599"
"2015-02-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","4.282"
"Volatility",,,,,
"2015-02-02_to_2023-01-13_Index_7QRank","20.62","15.92","18.91","16.67","15.22"
"2015-02-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","12.56"
"Tracking Error",,,,,
"2015-02-02_to_2023-01-13_Index_7QRank","9.6","7.93","8.3","7.14","7.92"
"2015-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2015-02-02_to_2023-01-13_Index_7QRank","0.94","0.85","0.5","0.64","0.8"
"2015-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2015-02-02_to_2023-01-13_Index_7QRank","0.91","0.5","0.34","0.36","0.45"
"2015-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2015-02-02_to_2023-01-13_Index_7QRank","1.1","1.03","0.98","1.01","1.04"
"2015-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2015-02-02_to_2023-01-13_Index_7QRank","76.66","74.05","80.16","81.37","72.69"
"2015-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2015-02-02_to_2023-01-13_Index_7QRank","-19.3455","-19.3455","-32.7972","-32.7972","-32.7972"
"2015-02-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
