"","1 Years","2 Years","2020-07-2023-01"
"Annualized Returns",,,
"2020-07-02_to_2023-01-13_Index_7QRank","-0.722","11.995","18.344"
"2020-07-02_to_2023-01-13_TSX60_Index","-6.482","6.606","10.665"
"Volatility",,,
"2020-07-02_to_2023-01-13_Index_7QRank","22.6","17.14","16.9"
"2020-07-02_to_2023-01-13_TSX60_Index","16.64","13.46","14.01"
"Tracking Error",,,
"2020-07-02_to_2023-01-13_Index_7QRank","9.74","7.72","7.33"
"2020-07-02_to_2023-01-13_TSX60_Index","-","-","-"
"Information Ratio",,,
"2020-07-02_to_2023-01-13_Index_7QRank","0.59","0.7","1.05"
"2020-07-02_to_2023-01-13_TSX60_Index","-","-","-"
"Alpha Stat",,,
"2020-07-02_to_2023-01-13_Index_7QRank","0.93","0.34","0.49"
"2020-07-02_to_2023-01-13_TSX60_Index","-","-","-"
"Beta Stat",,,
"2020-07-02_to_2023-01-13_Index_7QRank","1.25","1.15","1.09"
"2020-07-02_to_2023-01-13_TSX60_Index","-","-","-"
"R-Squared",,,
"2020-07-02_to_2023-01-13_Index_7QRank","83.19","80.09","81.08"
"2020-07-02_to_2023-01-13_TSX60_Index","-","-","-"
"Max Drawdown",,,
"2020-07-02_to_2023-01-13_Index_7QRank","-23.231","-23.231","-23.231"
"2020-07-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-17.7766"
