"","1 Years","2 Years","3 Years","5 Years","2017-04-2023-01"
"Annualized Returns",,,,,
"2017-04-02_to_2023-01-13_Index_7QRank","4.738","16.766","17.443","14.275","15.022"
"2017-04-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","4.979"
"Volatility",,,,,
"2017-04-02_to_2023-01-13_Index_7QRank","23.14","17.67","22.87","19.92","18.68"
"2017-04-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","13.99"
"Tracking Error",,,,,
"2017-04-02_to_2023-01-13_Index_7QRank","11.69","9.39","9.57","8.48","8.12"
"2017-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2017-04-02_to_2023-01-13_Index_7QRank","0.96","1.08","1.23","1.13","1.24"
"2017-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2017-04-02_to_2023-01-13_Index_7QRank","1.44","0.81","0.92","0.73","0.75"
"2017-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2017-04-02_to_2023-01-13_Index_7QRank","1.22","1.12","1.22","1.23","1.22"
"2017-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2017-04-02_to_2023-01-13_Index_7QRank","74.43","71.23","84.84","84.67","83.64"
"2017-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2017-04-02_to_2023-01-13_Index_7QRank","-22.6054","-22.6054","-37.0808","-37.0808","-37.0808"
"2017-04-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
