"","1 Years","2 Years","3 Years","5 Years","2015-11-2023-01"
"Annualized Returns",,,,,
"2015-11-02_to_2023-01-13_Index_7QRank","-2.035","5.396","7.846","10.119","14.041"
"2015-11-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.98"
"Volatility",,,,,
"2015-11-02_to_2023-01-13_Index_7QRank","17.81","14.38","20.4","17.62","15.87"
"2015-11-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","12.83"
"Tracking Error",,,,,
"2015-11-02_to_2023-01-13_Index_7QRank","5.75","6.15","10.45","9.58","9.33"
"2015-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2015-11-02_to_2023-01-13_Index_7QRank","0.77","-0.2","0.21","0.57","0.86"
"2015-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2015-11-02_to_2023-01-13_Index_7QRank","0.52","-0.07","0.16","0.45","0.69"
"2015-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2015-11-02_to_2023-01-13_Index_7QRank","1.01","0.97","1.01","0.99","1"
"2015-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2015-11-02_to_2023-01-13_Index_7QRank","88.46","80.94","72.97","69.94","65.01"
"2015-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2015-11-02_to_2023-01-13_Index_7QRank","-19.686","-19.686","-32.8749","-32.8749","-32.8749"
"2015-11-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
