"","1 Years","2 Years","3 Years","5 Years","2016-10-2023-01"
"Annualized Returns",,,,,
"2016-10-02_to_2023-01-13_Index_7QRank","-0.637","10.494","9.446","10.407","12.212"
"2016-10-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.744"
"Volatility",,,,,
"2016-10-02_to_2023-01-13_Index_7QRank","19.33","15.4","19.44","17.09","15.62"
"2016-10-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","13.44"
"Tracking Error",,,,,
"2016-10-02_to_2023-01-13_Index_7QRank","5.09","4.76","5.26","5.56","5.68"
"2016-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2016-10-02_to_2023-01-13_Index_7QRank","1.15","0.82","0.71","1.03","1.14"
"2016-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2016-10-02_to_2023-01-13_Index_7QRank","0.75","0.26","0.29","0.43","0.46"
"2016-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2016-10-02_to_2023-01-13_Index_7QRank","1.13","1.09","1.09","1.09","1.09"
"2016-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2016-10-02_to_2023-01-13_Index_7QRank","93.66","90.67","93.05","89.86","87.14"
"2016-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2016-10-02_to_2023-01-13_Index_7QRank","-19.7169","-19.7169","-37.1937","-37.1937","-37.1937"
"2016-10-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
