"","1 Years","2 Years","3 Years","5 Years","10 Years","2012-03-2023-01"
"Annualized Returns",,,,,,
"2012-03-02_to_2023-01-13_Index_7QRank","2.766","10.366","7.135","7.75","14.573","14.787"
"2012-03-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.335","4.952"
"Volatility",,,,,,
"2012-03-02_to_2023-01-13_Index_7QRank","19.5","14.92","19.31","16.91","18.34","17.78"
"2012-03-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","11.72","11.51"
"Tracking Error",,,,,,
"2012-03-02_to_2023-01-13_Index_7QRank","8.27","7.81","10.06","8.74","14.16","13.66"
"2012-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Information Ratio",,,,,,
"2012-03-02_to_2023-01-13_Index_7QRank","1.12","0.48","0.14","0.35","0.65","0.72"
"2012-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Alpha Stat",,,,,,
"2012-03-02_to_2023-01-13_Index_7QRank","0.94","0.28","0.17","0.27","0.79","0.83"
"2012-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Beta Stat",,,,,,
"2012-03-02_to_2023-01-13_Index_7QRank","1.06","0.95","0.95","0.97","0.99","0.99"
"2012-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"R-Squared",,,,,,
"2012-03-02_to_2023-01-13_Index_7QRank","80.35","71.57","72.2","72.88","39.85","40.47"
"2012-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Max Drawdown",,,,,,
"2012-03-02_to_2023-01-13_Index_7QRank","-18.7293","-18.7293","-32.5753","-32.5753","-32.5753","-32.5753"
"2012-03-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265","-35.7265"
