"","1 Years","2 Years","3 Years","5 Years","2013-10-2023-01"
"Annualized Returns",,,,,
"2013-10-02_to_2023-01-13_Index_7QRank","1.952","12.4","7.76","8.18","26.42"
"2013-10-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.643"
"Volatility",,,,,
"2013-10-02_to_2023-01-13_Index_7QRank","19.2","15.44","19.01","16.87","69.51"
"2013-10-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","11.91"
"Tracking Error",,,,,
"2013-10-02_to_2023-01-13_Index_7QRank","6.43","5.97","5.97","6.24","67.87"
"2013-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2013-10-02_to_2023-01-13_Index_7QRank","1.31","0.97","0.35","0.56","0.31"
"2013-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2013-10-02_to_2023-01-13_Index_7QRank","0.89","0.43","0.17","0.27","2.31"
"2013-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2013-10-02_to_2023-01-13_Index_7QRank","1.09","1.06","1.04","1.06","1.29"
"2013-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2013-10-02_to_2023-01-13_Index_7QRank","88.22","84.65","90","86.32","4.03"
"2013-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2013-10-02_to_2023-01-13_Index_7QRank","-19.9404","-19.9404","-37.2539","-37.2539","-41.5576"
"2013-10-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
