"","1 Years","2 Years","3 Years","4 Years","2019-01-2023-01"
"Annualized Returns",,,,,
"2019-01-02_to_2023-01-13_Index_7QRank","-4.344","5.251","6.795","10.371","11.686"
"2019-01-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","7.966","8.982"
"Volatility",,,,,
"2019-01-02_to_2023-01-13_Index_7QRank","17.98","14.19","18.45","16.35","16.35"
"2019-01-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","15.25","15.25"
"Tracking Error",,,,,
"2019-01-02_to_2023-01-13_Index_7QRank","5.18","4.9","5.75","5.31","5.31"
"2019-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2019-01-02_to_2023-01-13_Index_7QRank","0.41","-0.28","0.19","0.45","0.51"
"2019-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2019-01-02_to_2023-01-13_Index_7QRank","0.31","-0.1","0.09","0.17","0.17"
"2019-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2019-01-02_to_2023-01-13_Index_7QRank","1.04","0.99","1.01","1.01","1.01"
"2019-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2019-01-02_to_2023-01-13_Index_7QRank","90.88","87.53","90","89.25","89.25"
"2019-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2019-01-02_to_2023-01-13_Index_7QRank","-20.5568","-20.5568","-34.4452","-34.4452","-34.4452"
"2019-01-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
