"","1 Years","2 Years","3 Years","5 Years","2015-04-2023-01"
"Annualized Returns",,,,,
"2015-04-02_to_2023-01-13_Index_7QRank","4.047","12.558","7.142","7.281","9.501"
"2015-04-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","4.298"
"Volatility",,,,,
"2015-04-02_to_2023-01-13_Index_7QRank","19.39","14.89","20.54","17.72","15.94"
"2015-04-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","12.64"
"Tracking Error",,,,,
"2015-04-02_to_2023-01-13_Index_7QRank","8.35","7.65","10.8","9.43","9.31"
"2015-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2015-04-02_to_2023-01-13_Index_7QRank","1.26","0.78","0.13","0.28","0.56"
"2015-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2015-04-02_to_2023-01-13_Index_7QRank","1.15","0.49","0.2","0.25","0.46"
"2015-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2015-04-02_to_2023-01-13_Index_7QRank","1.05","0.95","1.01","1.01","1.02"
"2015-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2015-04-02_to_2023-01-13_Index_7QRank","79.61","72.55","71.5","71.19","65.56"
"2015-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2015-04-02_to_2023-01-13_Index_7QRank","-18.3023","-18.3023","-34.9993","-34.9993","-34.9993"
"2015-04-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
