"","1 Years","2 Years","3 Years","5 Years","2014-08-2023-01"
"Annualized Returns",,,,,
"2014-08-02_to_2023-01-13_Index_7QRank","4.142","17.283","10.833","8.337","11.841"
"2014-08-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","3.968"
"Volatility",,,,,
"2014-08-02_to_2023-01-13_Index_7QRank","21.35","16.1","20.42","18.4","15.48"
"2014-08-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","12.35"
"Tracking Error",,,,,
"2014-08-02_to_2023-01-13_Index_7QRank","9.5","7.63","7.23","7.19","7.41"
"2014-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2014-08-02_to_2023-01-13_Index_7QRank","1.12","1.4","0.71","0.51","1.06"
"2014-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2014-08-02_to_2023-01-13_Index_7QRank","1.23","0.81","0.43","0.31","0.64"
"2014-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2014-08-02_to_2023-01-13_Index_7QRank","1.16","1.05","1.11","1.15","1.11"
"2014-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2014-08-02_to_2023-01-13_Index_7QRank","79.74","76.69","87.99","85.93","77.55"
"2014-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2014-08-02_to_2023-01-13_Index_7QRank","-20.1306","-20.1306","-37.4096","-37.4096","-37.4096"
"2014-08-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
