"","1 Years","2 Years","3 Years","5 Years","2016-05-2023-01"
"Annualized Returns",,,,,
"2016-05-02_to_2023-01-13_Index_7QRank","-6.205","2.41","4.185","7.476","10.724"
"2016-05-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","6.246"
"Volatility",,,,,
"2016-05-02_to_2023-01-13_Index_7QRank","18.81","14.88","19.24","17.62","15.7"
"2016-05-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","13.07"
"Tracking Error",,,,,
"2016-05-02_to_2023-01-13_Index_7QRank","6.45","6.53","9.29","8.68","8.12"
"2016-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2016-05-02_to_2023-01-13_Index_7QRank","0.04","-0.64","-0.16","0.32","0.55"
"2016-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2016-05-02_to_2023-01-13_Index_7QRank","0.12","-0.43","-0.19","0.23","0.36"
"2016-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2016-05-02_to_2023-01-13_Index_7QRank","1.06","0.99","0.97","1.03","1.03"
"2016-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2016-05-02_to_2023-01-13_Index_7QRank","87.31","79.85","76.05","75.4","72.97"
"2016-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2016-05-02_to_2023-01-13_Index_7QRank","-23.2903","-23.2903","-32.6713","-32.6713","-32.6713"
"2016-05-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
