"","1 Years","2 Years","3 Years","5 Years","2014-02-2023-01"
"Annualized Returns",,,,,
"2014-02-02_to_2023-01-13_Index_7QRank","0.604","11.605","10.279","9.22","35.958"
"2014-02-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.176"
"Volatility",,,,,
"2014-02-02_to_2023-01-13_Index_7QRank","21.52","16.83","22.6","19.91","81.49"
"2014-02-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","12.08"
"Tracking Error",,,,,
"2014-02-02_to_2023-01-13_Index_7QRank","9.05","7.75","8.66","8.06","79.52"
"2014-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2014-02-02_to_2023-01-13_Index_7QRank","0.78","0.65","0.53","0.56","0.39"
"2014-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2014-02-02_to_2023-01-13_Index_7QRank","0.87","0.36","0.32","0.31","3.27"
"2014-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2014-02-02_to_2023-01-13_Index_7QRank","1.19","1.12","1.23","1.25","1.58"
"2014-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2014-02-02_to_2023-01-13_Index_7QRank","82.72","78.69","88.03","86.87","4.6"
"2014-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2014-02-02_to_2023-01-13_Index_7QRank","-22.0508","-22.0508","-40.2936","-40.2936","-43.6167"
"2014-02-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
