"","1 Years","2 Years","3 Years","5 Years","2017-07-2023-01"
"Annualized Returns",,,,,
"2017-07-02_to_2023-01-13_Index_7QRank","-0.711","12.056","14.403","12.588","14.92"
"2017-07-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.806"
"Volatility",,,,,
"2017-07-02_to_2023-01-13_Index_7QRank","22.59","17.13","21.17","18.35","17.59"
"2017-07-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","14.27"
"Tracking Error",,,,,
"2017-07-02_to_2023-01-13_Index_7QRank","9.74","7.74","7.52","6.64","6.68"
"2017-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2017-07-02_to_2023-01-13_Index_7QRank","0.59","0.7","1.16","1.19","1.36"
"2017-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2017-07-02_to_2023-01-13_Index_7QRank","0.93","0.35","0.65","0.6","0.66"
"2017-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2017-07-02_to_2023-01-13_Index_7QRank","1.25","1.14","1.15","1.16","1.15"
"2017-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2017-07-02_to_2023-01-13_Index_7QRank","83.11","79.98","88.66","88.43","86.85"
"2017-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2017-07-02_to_2023-01-13_Index_7QRank","-23.2646","-23.2646","-35.5264","-35.5264","-35.5264"
"2017-07-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
