"","1 Years","2 Years","3 Years","2019-10-2023-01"
"Annualized Returns",,,,
"2019-10-02_to_2023-01-13_Index_7QRank","-1.677","9.319","9.166","11.418"
"2019-10-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","6.951"
"Volatility",,,,
"2019-10-02_to_2023-01-13_Index_7QRank","19.6","15.43","19.98","19.27"
"2019-10-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","16.67"
"Tracking Error",,,,
"2019-10-02_to_2023-01-13_Index_7QRank","5.28","4.75","5.48","5.4"
"2019-10-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Information Ratio",,,,
"2019-10-02_to_2023-01-13_Index_7QRank","0.91","0.57","0.64","0.83"
"2019-10-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Alpha Stat",,,,
"2019-10-02_to_2023-01-13_Index_7QRank","0.66","0.16","0.26","0.28"
"2019-10-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Beta Stat",,,,
"2019-10-02_to_2023-01-13_Index_7QRank","1.14","1.09","1.12","1.12"
"2019-10-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"R-Squared",,,,
"2019-10-02_to_2023-01-13_Index_7QRank","93.59","90.8","93.33","92.96"
"2019-10-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Max Drawdown",,,,
"2019-10-02_to_2023-01-13_Index_7QRank","-20.4485","-20.4485","-38.0085","-38.0085"
"2019-10-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265"
